"","db","query","kingdom","phylum","class","order","family","genus","species"
"168","ncbi","Phaneroptera nana","Metazoa","Arthropoda","Insecta","Orthoptera","Tettigoniidae","Phaneroptera","Phaneroptera nana"
"169","itis","Euura",NA,NA,NA,NA,NA,NA,NA
"170","ncbi","Euura","Metazoa","Arthropoda","Insecta","Hymenoptera","Tenthredinidae","Euura",NA
"171","itis","Xysticus","Animalia","Arthropoda","Euchelicerata","Araneae","Thomisidae","Xysticus",NA
"172","ncbi","Xysticus","Metazoa","Arthropoda","Arachnida","Araneae","Thomisidae","Xysticus",NA
"173","itis","Larinioides","Animalia","Arthropoda","Euchelicerata","Araneae","Araneidae","Larinioides",NA
"174","ncbi","Larinioides","Metazoa","Arthropoda","Arachnida","Araneae","Araneidae","Larinioides",NA
"175","itis","Araneinae",NA,NA,NA,NA,NA,NA,NA
"176","ncbi","Araneinae",NA,NA,NA,NA,NA,NA,NA
"178","itis","Phonognathinae",NA,NA,NA,NA,NA,NA,NA
"179","ncbi","Phonognathinae",NA,NA,NA,NA,NA,NA,NA
"180","itis","Clubionidae","Animalia","Arthropoda","Euchelicerata","Araneae","Clubionidae",NA,NA
"181","ncbi","Clubionidae","Metazoa","Arthropoda","Arachnida","Araneae","Clubionidae",NA,NA
"182","itis","Halyomorpha halys","Animalia","Arthropoda","Insecta","Hemiptera","Pentatomidae","Halyomorpha","Halyomorpha halys"
"183","ncbi","Halyomorpha halys","Metazoa","Arthropoda","Insecta","Hemiptera","Pentatomidae","Halyomorpha","Halyomorpha halys"
"184","itis","Lebiinae",NA,NA,NA,NA,NA,NA,NA
"185","ncbi","Lebiinae","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae",NA,NA
"186","itis","Coreoidea","Animalia","Arthropoda","Insecta","Hemiptera",NA,NA,NA
"187","ncbi","Coreoidea","Metazoa","Arthropoda","Insecta","Hemiptera",NA,NA,NA
"188","itis","Sphaeroderma",NA,NA,NA,NA,NA,NA,NA
"189","ncbi","Sphaeroderma","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Sphaeroderma",NA
"190","itis","Scymnus",NA,NA,NA,NA,NA,NA,NA
"191","ncbi","Scymnus","Metazoa","Arthropoda","Insecta","Coleoptera","Coccinellidae","Scymnus",NA
"192","itis","Heteroptera","Animalia","Arthropoda","Insecta","Hemiptera",NA,NA,NA
"193","ncbi","Heteroptera","Metazoa","Arthropoda","Insecta","Hemiptera",NA,NA,NA
"194","itis","Theridiidae","Animalia","Arthropoda","Euchelicerata","Araneae","Theridiidae",NA,NA
"195","ncbi","Theridiidae","Metazoa","Arthropoda","Arachnida","Araneae","Theridiidae",NA,NA
"196","itis","Psylloidea","Animalia","Arthropoda","Insecta","Hemiptera",NA,NA,NA
"197","ncbi","Psylloidea","Metazoa","Arthropoda","Insecta","Hemiptera",NA,NA,NA
"198","itis","Phaneroptera","Animalia","Arthropoda","Insecta","Orthoptera","Tettigoniidae","Phaneroptera",NA
"199","ncbi","Phaneroptera","Metazoa","Arthropoda","Insecta","Orthoptera","Tettigoniidae","Phaneroptera",NA
