"code_uhbr","finest_name","date","method","community","abundance"
"MC_C_B2_R3","67-14::Cluster_25","17/04/2023","metabarcoding","bacteria",233
"MC_C_B2_R4","67-14::Cluster_25","17/04/2023","metabarcoding","bacteria",124
"MC_C_B2_R5","67-14::Cluster_25","17/04/2023","metabarcoding","bacteria",136
"TP_T_B3_R1","67-14::Cluster_25","17/04/2023","metabarcoding","bacteria",210
"TP_T_B3_R2","67-14::Cluster_25","17/04/2023","metabarcoding","bacteria",387
"TP_T_B3_R3","67-14::Cluster_25","17/04/2023","metabarcoding","bacteria",167
"TP_T_B3_R4","67-14::Cluster_25","17/04/2023","metabarcoding","bacteria",234
"TP_T_B3_R5","67-14::Cluster_25","17/04/2023","metabarcoding","bacteria",254
"MC_C_B2_R2","67-14::Cluster_2523","17/04/2023","metabarcoding","bacteria",70
"MC_C_B2_R5","67-14::Cluster_2523","17/04/2023","metabarcoding","bacteria",84
"AF_C_B2_R3","67-14::Cluster_2895","17/04/2023","metabarcoding","bacteria",172
"TP_T_B2_R2","67-14::Cluster_3026","17/04/2023","metabarcoding","bacteria",150
"MC_C_B2_R3","67-14::Cluster_3575","17/04/2023","metabarcoding","bacteria",132
"TP_T_B3_R2","67-14::Cluster_3652","17/04/2023","metabarcoding","bacteria",55
"AF_T_B2_R1","67-14::Cluster_373","17/04/2023","metabarcoding","bacteria",73
"AF_T_B2_R2","67-14::Cluster_373","17/04/2023","metabarcoding","bacteria",603
"AF_T_B2_R3","67-14::Cluster_373","17/04/2023","metabarcoding","bacteria",86
"TP_T_B2_R2","67-14::Cluster_373","17/04/2023","metabarcoding","bacteria",119
"TP_T_B3_R5","67-14::Cluster_373","17/04/2023","metabarcoding","bacteria",98
"MC_C_B2_R1","67-14::Cluster_4049","17/04/2023","metabarcoding","bacteria",85
"AF_T_B1_R1","67-14::Cluster_410","17/04/2023","metabarcoding","bacteria",79
"AF_C_B3_R1","67-14::Cluster_416","17/04/2023","metabarcoding","bacteria",89
"AF_C_B3_R2","67-14::Cluster_416","17/04/2023","metabarcoding","bacteria",103
"AF_C_B3_R3","67-14::Cluster_416","17/04/2023","metabarcoding","bacteria",81
"AF_C_B3_R4","67-14::Cluster_416","17/04/2023","metabarcoding","bacteria",73
"AF_C_B3_R5","67-14::Cluster_416","17/04/2023","metabarcoding","bacteria",124
"AF_T_B3_R1","67-14::Cluster_416","17/04/2023","metabarcoding","bacteria",107
"AF_T_B3_R2","67-14::Cluster_416","17/04/2023","metabarcoding","bacteria",87
"AF_T_B3_R5","67-14::Cluster_416","17/04/2023","metabarcoding","bacteria",75
"TP_T_B3_R2","67-14::Cluster_416","17/04/2023","metabarcoding","bacteria",50
"AF_T_B1_R5","67-14::Cluster_4442","17/04/2023","metabarcoding","bacteria",81
"TP_T_B2_R4","67-14::Cluster_5313","17/04/2023","metabarcoding","bacteria",91
"AF_C_B3_R2","67-14::Cluster_921","17/04/2023","metabarcoding","bacteria",244
"AF_C_B3_R3","67-14::Cluster_921","17/04/2023","metabarcoding","bacteria",294
"AF_T_B1_R3","A21b::Cluster_873","17/04/2023","metabarcoding","bacteria",74
"AF_T_B1_R4","A21b::Cluster_873","17/04/2023","metabarcoding","bacteria",91
"AF_T_B2_R4","A21b::Cluster_873","17/04/2023","metabarcoding","bacteria",112
"AF_C_B2_R3","A4b::Cluster_1203","17/04/2023","metabarcoding","bacteria",76
"AF_C_B1_R2","A4b::Cluster_1240","17/04/2023","metabarcoding","bacteria",102
"AF_C_B3_R1","A4b::Cluster_1325","17/04/2023","metabarcoding","bacteria",86
"AF_C_B3_R3","A4b::Cluster_1325","17/04/2023","metabarcoding","bacteria",100
"AF_C_B3_R4","A4b::Cluster_1325","17/04/2023","metabarcoding","bacteria",72
"AF_C_B2_R2","A4b::Cluster_4802","17/04/2023","metabarcoding","bacteria",130
"AF_C_B3_R1","Acetobacteraceae::Cluster_356","17/04/2023","metabarcoding","bacteria",74
"AF_C_B3_R2","Acetobacteraceae::Cluster_356","17/04/2023","metabarcoding","bacteria",60
"AF_C_B3_R4","Acetobacteraceae::Cluster_356","17/04/2023","metabarcoding","bacteria",84
"AF_C_B3_R5","Acetobacteraceae::Cluster_356","17/04/2023","metabarcoding","bacteria",70
"MC_C_B2_R3","Acetobacteraceae::Cluster_356","17/04/2023","metabarcoding","bacteria",68
"MC_C_B2_R4","Acetobacteraceae::Cluster_356","17/04/2023","metabarcoding","bacteria",80
"MC_C_B2_R5","Acetobacteraceae::Cluster_356","17/04/2023","metabarcoding","bacteria",63
"TP_T_B1_R3","Acetobacteraceae::Cluster_356","17/04/2023","metabarcoding","bacteria",65
"AF_T_B1_R3","Acetobacteraceae::Cluster_489","17/04/2023","metabarcoding","bacteria",83
"AF_T_B1_R5","Acetobacteraceae::Cluster_489","17/04/2023","metabarcoding","bacteria",67
"AF_C_B3_R5","Acetobacteraceae::Cluster_676","17/04/2023","metabarcoding","bacteria",114
"AF_T_B1_R2","Acidibacter::Cluster_110","17/04/2023","metabarcoding","bacteria",108
"MC_C_B3_R1","Acidibacter::Cluster_110","17/04/2023","metabarcoding","bacteria",150
"MC_C_B3_R2","Acidibacter::Cluster_110","17/04/2023","metabarcoding","bacteria",91
"MC_C_B3_R3","Acidibacter::Cluster_110","17/04/2023","metabarcoding","bacteria",156
"MC_C_B3_R4","Acidibacter::Cluster_110","17/04/2023","metabarcoding","bacteria",92
"MC_C_B3_R5","Acidibacter::Cluster_110","17/04/2023","metabarcoding","bacteria",88
"TP_T_B1_R1","Acidibacter::Cluster_110","17/04/2023","metabarcoding","bacteria",155
"TP_T_B1_R2","Acidibacter::Cluster_110","17/04/2023","metabarcoding","bacteria",194
"TP_T_B1_R3","Acidibacter::Cluster_110","17/04/2023","metabarcoding","bacteria",183
"TP_T_B1_R4","Acidibacter::Cluster_110","17/04/2023","metabarcoding","bacteria",208
"TP_T_B1_R5","Acidibacter::Cluster_110","17/04/2023","metabarcoding","bacteria",173
"TP_T_B2_R1","Acidibacter::Cluster_110","17/04/2023","metabarcoding","bacteria",111
"TP_T_B2_R2","Acidibacter::Cluster_110","17/04/2023","metabarcoding","bacteria",122
"TP_T_B2_R4","Acidibacter::Cluster_110","17/04/2023","metabarcoding","bacteria",104
"TP_T_B2_R5","Acidibacter::Cluster_110","17/04/2023","metabarcoding","bacteria",88
"TP_T_B1_R2","Acidibacter::Cluster_1201","17/04/2023","metabarcoding","bacteria",116
"TP_T_B1_R3","Acidibacter::Cluster_1201","17/04/2023","metabarcoding","bacteria",106
"TP_T_B1_R4","Acidibacter::Cluster_1201","17/04/2023","metabarcoding","bacteria",138
"TP_T_B1_R5","Acidibacter::Cluster_1201","17/04/2023","metabarcoding","bacteria",165
"AF_C_B1_R2","Acidibacter::Cluster_165","17/04/2023","metabarcoding","bacteria",163
"AF_C_B1_R4","Acidibacter::Cluster_165","17/04/2023","metabarcoding","bacteria",88
"AF_T_B1_R2","Acidibacter::Cluster_165","17/04/2023","metabarcoding","bacteria",84
"AF_T_B2_R4","Acidibacter::Cluster_165","17/04/2023","metabarcoding","bacteria",99
"AF_T_B2_R5","Acidibacter::Cluster_165","17/04/2023","metabarcoding","bacteria",79
"MC_C_B1_R5","Acidibacter::Cluster_165","17/04/2023","metabarcoding","bacteria",75
"MC_C_B3_R1","Acidibacter::Cluster_165","17/04/2023","metabarcoding","bacteria",100
"MC_C_B3_R3","Acidibacter::Cluster_165","17/04/2023","metabarcoding","bacteria",116
"MC_C_B3_R4","Acidibacter::Cluster_165","17/04/2023","metabarcoding","bacteria",86
"MC_C_B3_R5","Acidibacter::Cluster_165","17/04/2023","metabarcoding","bacteria",54
"TP_T_B1_R1","Acidibacter::Cluster_165","17/04/2023","metabarcoding","bacteria",90
"TP_T_B1_R3","Acidibacter::Cluster_165","17/04/2023","metabarcoding","bacteria",102
"TP_T_B2_R2","Acidibacter::Cluster_165","17/04/2023","metabarcoding","bacteria",117
"TP_T_B2_R3","Acidibacter::Cluster_165","17/04/2023","metabarcoding","bacteria",129
"TP_T_B2_R4","Acidibacter::Cluster_165","17/04/2023","metabarcoding","bacteria",60
"TP_T_B3_R2","Acidibacter::Cluster_165","17/04/2023","metabarcoding","bacteria",50
"TP_T_B3_R4","Acidibacter::Cluster_165","17/04/2023","metabarcoding","bacteria",85
"TP_T_B3_R5","Acidibacter::Cluster_165","17/04/2023","metabarcoding","bacteria",111
"AF_T_B2_R2","Acidibacter::Cluster_171","17/04/2023","metabarcoding","bacteria",78
"TP_T_B1_R1","Acidibacter::Cluster_171","17/04/2023","metabarcoding","bacteria",151
"TP_T_B1_R2","Acidibacter::Cluster_171","17/04/2023","metabarcoding","bacteria",60
"TP_T_B1_R3","Acidibacter::Cluster_171","17/04/2023","metabarcoding","bacteria",69
"TP_T_B2_R1","Acidibacter::Cluster_171","17/04/2023","metabarcoding","bacteria",138
"TP_T_B2_R2","Acidibacter::Cluster_171","17/04/2023","metabarcoding","bacteria",254
"TP_T_B2_R3","Acidibacter::Cluster_171","17/04/2023","metabarcoding","bacteria",96
"TP_T_B2_R5","Acidibacter::Cluster_171","17/04/2023","metabarcoding","bacteria",52
"TP_T_B3_R3","Acidibacter::Cluster_171","17/04/2023","metabarcoding","bacteria",87
"TP_T_B3_R4","Acidibacter::Cluster_171","17/04/2023","metabarcoding","bacteria",124
"AF_T_B1_R4","Acidibacter::Cluster_176","17/04/2023","metabarcoding","bacteria",72
"AF_T_B2_R2","Acidibacter::Cluster_176","17/04/2023","metabarcoding","bacteria",146
"AF_T_B2_R5","Acidibacter::Cluster_176","17/04/2023","metabarcoding","bacteria",75
"AF_T_B3_R1","Acidibacter::Cluster_176","17/04/2023","metabarcoding","bacteria",82
"AF_T_B3_R3","Acidibacter::Cluster_176","17/04/2023","metabarcoding","bacteria",106
"AF_T_B3_R4","Acidibacter::Cluster_176","17/04/2023","metabarcoding","bacteria",76
"AF_T_B3_R5","Acidibacter::Cluster_176","17/04/2023","metabarcoding","bacteria",74
"TP_T_B3_R1","Acidibacter::Cluster_176","17/04/2023","metabarcoding","bacteria",79
"TP_T_B3_R2","Acidibacter::Cluster_176","17/04/2023","metabarcoding","bacteria",76
"TP_T_B3_R3","Acidibacter::Cluster_176","17/04/2023","metabarcoding","bacteria",114
"TP_T_B3_R4","Acidibacter::Cluster_176","17/04/2023","metabarcoding","bacteria",214
"TP_T_B3_R5","Acidibacter::Cluster_176","17/04/2023","metabarcoding","bacteria",96
"AF_T_B2_R2","Acidibacter::Cluster_1926","17/04/2023","metabarcoding","bacteria",134
"AF_T_B2_R2","Acidibacter::Cluster_1949","17/04/2023","metabarcoding","bacteria",86
"AF_C_B1_R1","Acidibacter::Cluster_250","17/04/2023","metabarcoding","bacteria",68
"AF_C_B2_R1","Acidibacter::Cluster_250","17/04/2023","metabarcoding","bacteria",68
"AF_T_B1_R3","Acidibacter::Cluster_250","17/04/2023","metabarcoding","bacteria",99
"AF_T_B1_R4","Acidibacter::Cluster_250","17/04/2023","metabarcoding","bacteria",101
"AF_T_B1_R5","Acidibacter::Cluster_250","17/04/2023","metabarcoding","bacteria",79
"AF_T_B2_R3","Acidibacter::Cluster_250","17/04/2023","metabarcoding","bacteria",198
"AF_T_B2_R4","Acidibacter::Cluster_250","17/04/2023","metabarcoding","bacteria",94
"AF_T_B3_R3","Acidibacter::Cluster_250","17/04/2023","metabarcoding","bacteria",72
"TP_T_B2_R4","Acidibacter::Cluster_250","17/04/2023","metabarcoding","bacteria",95
"AF_T_B1_R2","Acidibacter::Cluster_271","17/04/2023","metabarcoding","bacteria",98
"TP_T_B1_R1","Acidibacter::Cluster_271","17/04/2023","metabarcoding","bacteria",88
"TP_T_B2_R1","Acidibacter::Cluster_271","17/04/2023","metabarcoding","bacteria",187
"TP_T_B2_R2","Acidibacter::Cluster_271","17/04/2023","metabarcoding","bacteria",216
"TP_T_B2_R3","Acidibacter::Cluster_271","17/04/2023","metabarcoding","bacteria",129
"TP_T_B2_R4","Acidibacter::Cluster_271","17/04/2023","metabarcoding","bacteria",89
"TP_T_B2_R5","Acidibacter::Cluster_271","17/04/2023","metabarcoding","bacteria",89
"TP_T_B3_R1","Acidibacter::Cluster_271","17/04/2023","metabarcoding","bacteria",89
"TP_T_B3_R4","Acidibacter::Cluster_271","17/04/2023","metabarcoding","bacteria",76
"AF_T_B3_R1","Acidibacter::Cluster_307","17/04/2023","metabarcoding","bacteria",132
"AF_T_B3_R2","Acidibacter::Cluster_307","17/04/2023","metabarcoding","bacteria",162
"AF_T_B3_R3","Acidibacter::Cluster_307","17/04/2023","metabarcoding","bacteria",182
"AF_T_B3_R4","Acidibacter::Cluster_307","17/04/2023","metabarcoding","bacteria",159
"AF_T_B3_R5","Acidibacter::Cluster_307","17/04/2023","metabarcoding","bacteria",105
"TP_T_B3_R3","Acidibacter::Cluster_307","17/04/2023","metabarcoding","bacteria",101
"TP_T_B3_R5","Acidibacter::Cluster_307","17/04/2023","metabarcoding","bacteria",80
"AF_C_B1_R1","Acidibacter::Cluster_34","17/04/2023","metabarcoding","bacteria",107
"AF_C_B1_R2","Acidibacter::Cluster_34","17/04/2023","metabarcoding","bacteria",83
"AF_C_B1_R3","Acidibacter::Cluster_34","17/04/2023","metabarcoding","bacteria",129
"AF_C_B1_R4","Acidibacter::Cluster_34","17/04/2023","metabarcoding","bacteria",90
"AF_C_B1_R5","Acidibacter::Cluster_34","17/04/2023","metabarcoding","bacteria",90
"AF_C_B2_R1","Acidibacter::Cluster_34","17/04/2023","metabarcoding","bacteria",155
"AF_C_B2_R3","Acidibacter::Cluster_34","17/04/2023","metabarcoding","bacteria",121
"AF_C_B2_R4","Acidibacter::Cluster_34","17/04/2023","metabarcoding","bacteria",74
"AF_T_B1_R1","Acidibacter::Cluster_34","17/04/2023","metabarcoding","bacteria",92
"AF_T_B1_R3","Acidibacter::Cluster_34","17/04/2023","metabarcoding","bacteria",192
"AF_T_B1_R4","Acidibacter::Cluster_34","17/04/2023","metabarcoding","bacteria",133
"AF_T_B1_R5","Acidibacter::Cluster_34","17/04/2023","metabarcoding","bacteria",87
"AF_T_B2_R1","Acidibacter::Cluster_34","17/04/2023","metabarcoding","bacteria",76
"AF_T_B2_R2","Acidibacter::Cluster_34","17/04/2023","metabarcoding","bacteria",218
"AF_T_B2_R4","Acidibacter::Cluster_34","17/04/2023","metabarcoding","bacteria",77
"AF_T_B2_R5","Acidibacter::Cluster_34","17/04/2023","metabarcoding","bacteria",109
"AF_T_B3_R2","Acidibacter::Cluster_34","17/04/2023","metabarcoding","bacteria",63
"AF_T_B3_R3","Acidibacter::Cluster_34","17/04/2023","metabarcoding","bacteria",151
"AF_T_B3_R4","Acidibacter::Cluster_34","17/04/2023","metabarcoding","bacteria",157
"MC_C_B1_R1","Acidibacter::Cluster_34","17/04/2023","metabarcoding","bacteria",163
"MC_C_B1_R2","Acidibacter::Cluster_34","17/04/2023","metabarcoding","bacteria",122
"MC_C_B1_R3","Acidibacter::Cluster_34","17/04/2023","metabarcoding","bacteria",194
"MC_C_B1_R4","Acidibacter::Cluster_34","17/04/2023","metabarcoding","bacteria",113
"MC_C_B1_R5","Acidibacter::Cluster_34","17/04/2023","metabarcoding","bacteria",70
"MC_C_B3_R1","Acidibacter::Cluster_34","17/04/2023","metabarcoding","bacteria",72
"MC_C_B3_R3","Acidibacter::Cluster_34","17/04/2023","metabarcoding","bacteria",63
"MC_C_B3_R4","Acidibacter::Cluster_34","17/04/2023","metabarcoding","bacteria",51
"MC_C_B3_R5","Acidibacter::Cluster_34","17/04/2023","metabarcoding","bacteria",57
"TP_T_B1_R3","Acidibacter::Cluster_34","17/04/2023","metabarcoding","bacteria",68
"TP_T_B2_R3","Acidibacter::Cluster_34","17/04/2023","metabarcoding","bacteria",88
"TP_T_B2_R4","Acidibacter::Cluster_34","17/04/2023","metabarcoding","bacteria",109
"TP_T_B3_R1","Acidibacter::Cluster_34","17/04/2023","metabarcoding","bacteria",88
"TP_T_B3_R2","Acidibacter::Cluster_34","17/04/2023","metabarcoding","bacteria",117
"TP_T_B3_R3","Acidibacter::Cluster_34","17/04/2023","metabarcoding","bacteria",270
"TP_T_B3_R4","Acidibacter::Cluster_34","17/04/2023","metabarcoding","bacteria",156
"TP_T_B3_R5","Acidibacter::Cluster_34","17/04/2023","metabarcoding","bacteria",185
"MC_C_B3_R3","Acidibacter::Cluster_346","17/04/2023","metabarcoding","bacteria",83
"MC_C_B3_R5","Acidibacter::Cluster_346","17/04/2023","metabarcoding","bacteria",54
"TP_T_B1_R1","Acidibacter::Cluster_346","17/04/2023","metabarcoding","bacteria",132
"TP_T_B1_R5","Acidibacter::Cluster_346","17/04/2023","metabarcoding","bacteria",105
"TP_T_B2_R1","Acidibacter::Cluster_346","17/04/2023","metabarcoding","bacteria",85
"AF_C_B3_R1","Acidibacter::Cluster_352","17/04/2023","metabarcoding","bacteria",123
"AF_C_B3_R2","Acidibacter::Cluster_352","17/04/2023","metabarcoding","bacteria",123
"AF_C_B3_R3","Acidibacter::Cluster_352","17/04/2023","metabarcoding","bacteria",133
"AF_C_B3_R4","Acidibacter::Cluster_352","17/04/2023","metabarcoding","bacteria",182
"AF_C_B3_R5","Acidibacter::Cluster_352","17/04/2023","metabarcoding","bacteria",177
"MC_C_B2_R1","Acidibacter::Cluster_352","17/04/2023","metabarcoding","bacteria",71
"MC_C_B2_R3","Acidibacter::Cluster_352","17/04/2023","metabarcoding","bacteria",74
"AF_T_B2_R2","Acidibacter::Cluster_506","17/04/2023","metabarcoding","bacteria",122
"AF_T_B3_R3","Acidibacter::Cluster_506","17/04/2023","metabarcoding","bacteria",128
"AF_T_B3_R4","Acidibacter::Cluster_506","17/04/2023","metabarcoding","bacteria",76
"AF_T_B3_R5","Acidibacter::Cluster_506","17/04/2023","metabarcoding","bacteria",79
"AF_T_B1_R3","Acidibacter::Cluster_535","17/04/2023","metabarcoding","bacteria",79
"AF_T_B1_R4","Acidibacter::Cluster_535","17/04/2023","metabarcoding","bacteria",131
"AF_T_B1_R5","Acidibacter::Cluster_535","17/04/2023","metabarcoding","bacteria",81
"AF_T_B2_R5","Acidibacter::Cluster_535","17/04/2023","metabarcoding","bacteria",113
"TP_T_B2_R3","Acidibacter::Cluster_535","17/04/2023","metabarcoding","bacteria",94
"TP_T_B3_R2","Acidibacter::Cluster_535","17/04/2023","metabarcoding","bacteria",75
"TP_T_B3_R3","Acidibacter::Cluster_535","17/04/2023","metabarcoding","bacteria",90
"TP_T_B3_R4","Acidibacter::Cluster_535","17/04/2023","metabarcoding","bacteria",104
"TP_T_B3_R5","Acidibacter::Cluster_535","17/04/2023","metabarcoding","bacteria",92
"TP_T_B1_R3","Acidibacter::Cluster_5670","17/04/2023","metabarcoding","bacteria",65
"MC_C_B3_R4","Acidibacter::Cluster_709","17/04/2023","metabarcoding","bacteria",60
"TP_T_B1_R1","Acidibacter::Cluster_709","17/04/2023","metabarcoding","bacteria",120
"TP_T_B1_R2","Acidibacter::Cluster_709","17/04/2023","metabarcoding","bacteria",91
"TP_T_B1_R3","Acidibacter::Cluster_709","17/04/2023","metabarcoding","bacteria",94
"TP_T_B1_R5","Acidibacter::Cluster_709","17/04/2023","metabarcoding","bacteria",101
"AF_T_B1_R1","Acidibacter::Cluster_718","17/04/2023","metabarcoding","bacteria",72
"AF_T_B2_R4","Acidibacter::Cluster_718","17/04/2023","metabarcoding","bacteria",81
"AF_C_B3_R5","Acidicaldus::Cluster_493","17/04/2023","metabarcoding","bacteria",204
"AF_T_B3_R5","Acidicaldus::Cluster_493","17/04/2023","metabarcoding","bacteria",88
"AF_C_B3_R5","Acidipila::Cluster_1823","17/04/2023","metabarcoding","bacteria",63
"AF_C_B3_R4","Acidobacteriaceae (Subgroup 1)::Cluster_1443","17/04/2023","metabarcoding","bacteria",87
"AF_C_B3_R5","Acidobacteriaceae (Subgroup 1)::Cluster_1443","17/04/2023","metabarcoding","bacteria",74
"AF_T_B3_R5","Acidobacteriaceae (Subgroup 1)::Cluster_1443","17/04/2023","metabarcoding","bacteria",67
"AF_C_B3_R4","Acidobacteriaceae (Subgroup 1)::Cluster_738","17/04/2023","metabarcoding","bacteria",92
"AF_T_B3_R5","Acidobacteriaceae (Subgroup 1)::Cluster_7639","17/04/2023","metabarcoding","bacteria",59
"AF_T_B2_R2","Acidobacteriaceae bacterium TAA166::Cluster_3049","17/04/2023","metabarcoding","bacteria",70
"AF_C_B2_R5","Acidobacteriales::Cluster_10","17/04/2023","metabarcoding","bacteria",83
"AF_C_B3_R1","Acidobacteriales::Cluster_10","17/04/2023","metabarcoding","bacteria",827
"AF_C_B3_R2","Acidobacteriales::Cluster_10","17/04/2023","metabarcoding","bacteria",506
"AF_C_B3_R3","Acidobacteriales::Cluster_10","17/04/2023","metabarcoding","bacteria",633
"AF_C_B3_R4","Acidobacteriales::Cluster_10","17/04/2023","metabarcoding","bacteria",714
"AF_C_B3_R5","Acidobacteriales::Cluster_10","17/04/2023","metabarcoding","bacteria",650
"AF_T_B2_R5","Acidobacteriales::Cluster_10","17/04/2023","metabarcoding","bacteria",194
"AF_T_B3_R1","Acidobacteriales::Cluster_10","17/04/2023","metabarcoding","bacteria",632
"AF_T_B3_R2","Acidobacteriales::Cluster_10","17/04/2023","metabarcoding","bacteria",653
"AF_T_B3_R3","Acidobacteriales::Cluster_10","17/04/2023","metabarcoding","bacteria",908
"AF_T_B3_R4","Acidobacteriales::Cluster_10","17/04/2023","metabarcoding","bacteria",307
"AF_T_B3_R5","Acidobacteriales::Cluster_10","17/04/2023","metabarcoding","bacteria",1283
"MC_C_B2_R1","Acidobacteriales::Cluster_10","17/04/2023","metabarcoding","bacteria",57
"MC_C_B2_R2","Acidobacteriales::Cluster_10","17/04/2023","metabarcoding","bacteria",69
"MC_C_B2_R3","Acidobacteriales::Cluster_10","17/04/2023","metabarcoding","bacteria",69
"MC_C_B2_R4","Acidobacteriales::Cluster_10","17/04/2023","metabarcoding","bacteria",77
"MC_C_B2_R5","Acidobacteriales::Cluster_10","17/04/2023","metabarcoding","bacteria",72
"TP_T_B3_R1","Acidobacteriales::Cluster_10","17/04/2023","metabarcoding","bacteria",82
"TP_T_B3_R2","Acidobacteriales::Cluster_10","17/04/2023","metabarcoding","bacteria",220
"TP_T_B3_R3","Acidobacteriales::Cluster_10","17/04/2023","metabarcoding","bacteria",367
"TP_T_B3_R4","Acidobacteriales::Cluster_10","17/04/2023","metabarcoding","bacteria",417
"TP_T_B3_R5","Acidobacteriales::Cluster_10","17/04/2023","metabarcoding","bacteria",543
"AF_C_B3_R5","Acidobacteriales::Cluster_1156","17/04/2023","metabarcoding","bacteria",65
"AF_T_B3_R5","Acidobacteriales::Cluster_1156","17/04/2023","metabarcoding","bacteria",154
"AF_C_B2_R3","Acidobacteriales::Cluster_125","17/04/2023","metabarcoding","bacteria",94
"AF_C_B2_R5","Acidobacteriales::Cluster_125","17/04/2023","metabarcoding","bacteria",142
"AF_C_B3_R4","Acidobacteriales::Cluster_125","17/04/2023","metabarcoding","bacteria",81
"AF_T_B2_R5","Acidobacteriales::Cluster_125","17/04/2023","metabarcoding","bacteria",255
"AF_T_B3_R1","Acidobacteriales::Cluster_125","17/04/2023","metabarcoding","bacteria",92
"AF_T_B3_R2","Acidobacteriales::Cluster_125","17/04/2023","metabarcoding","bacteria",88
"AF_T_B3_R3","Acidobacteriales::Cluster_125","17/04/2023","metabarcoding","bacteria",103
"AF_T_B3_R5","Acidobacteriales::Cluster_125","17/04/2023","metabarcoding","bacteria",82
"MC_C_B2_R1","Acidobacteriales::Cluster_125","17/04/2023","metabarcoding","bacteria",52
"TP_T_B3_R1","Acidobacteriales::Cluster_125","17/04/2023","metabarcoding","bacteria",114
"TP_T_B3_R2","Acidobacteriales::Cluster_125","17/04/2023","metabarcoding","bacteria",97
"TP_T_B3_R3","Acidobacteriales::Cluster_125","17/04/2023","metabarcoding","bacteria",159
"TP_T_B3_R4","Acidobacteriales::Cluster_125","17/04/2023","metabarcoding","bacteria",124
"AF_C_B2_R4","Acidobacteriales::Cluster_144","17/04/2023","metabarcoding","bacteria",105
