"","query","kingdom","phylum","class","order","family","genus","species","community"
"71","M03493:516:000000000-L4LRP:1:1102:23434:18866","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"72","M03493:516:000000000-L4LRP:1:1101:22187:12679","Eukaryota","Cercozoa","Imbricatea","unassigned","Thaumatomonadida","unassigned","unassigned","protists"
"73","M03493:516:000000000-L4LRP:1:1102:25845:20226","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","unassigned","unassigned","protists"
"74","M03493:516:000000000-L4LRP:1:1101:27875:9147","Eukaryota","Cercozoa","unassigned","unassigned","unassigned","unassigned","unassigned","protists"
"75","M03493:516:000000000-L4LRP:1:1108:10319:25972","Eukaryota","Cercozoa","Imbricatea","Spongomonadida","unassigned","Spongomonas","Spongomonas minima","protists"
"76","M03493:516:000000000-L4LRP:1:1103:20355:5811","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","Euglypha","Euglypha rotunda","protists"
"77","M03493:516:000000000-L4LRP:1:1103:20779:7288","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","Cercomonas","Cercomonas sp.","protists"
"78","M03493:516:000000000-L4LRP:1:1101:13919:20072","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","Trinema","Trinema lineare","protists"
"79","M03493:516:000000000-L4LRP:1:2111:9571:22645","Eukaryota","Cercozoa","Imbricatea","Spongomonadida","unassigned","Spongomonas","unassigned","protists"
"80","M03493:516:000000000-L4LRP:1:1101:3712:8756","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","Paracercomonas","Paracercomonas oxoniensis","protists"
"81","M03493:516:000000000-L4LRP:1:1103:14830:12488","Eukaryota","Cercozoa","Thecofilosea","Cryomonadida","Rhizaspididae","Rhogostoma","Rhogostoma schuessleri","protists"
"82","M03493:516:000000000-L4LRP:1:1101:5218:21547","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"83","M03493:516:000000000-L4LRP:1:1113:26665:7490","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","unassigned","unassigned","protists"
"84","M03493:516:000000000-L4LRP:1:1105:19705:22538","Eukaryota","Cercozoa","Thecofilosea","Cryomonadida","Rhizaspididae","Rhogostoma","unassigned","protists"
"85","M03493:516:000000000-L4LRP:1:1102:7474:9859","Eukaryota","Cercozoa","Thecofilosea","unassigned","unassigned","unassigned","unassigned","protists"
"86","M03493:516:000000000-L4LRP:1:1102:7943:25485","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"87","M03493:516:000000000-L4LRP:1:1101:11664:14779","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","unassigned","unassigned","protists"
"88","M03493:516:000000000-L4LRP:1:1102:15399:22606","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","unassigned","Nucleocercomonas sp.","protists"
"89","M03493:516:000000000-L4LRP:1:1102:22121:19909","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"90","M03493:516:000000000-L4LRP:1:1101:26284:13662","Eukaryota","Cercozoa","Thecofilosea","unassigned","unassigned","unassigned","unassigned","protists"
"91","M03493:516:000000000-L4LRP:1:1103:6283:14100","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","unassigned","Euglypha penardi","protists"
"92","M03493:516:000000000-L4LRP:1:1113:7569:5389","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","unassigned","unassigned","protists"
"93","M03493:516:000000000-L4LRP:1:1104:15627:26357","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","unassigned","unassigned","protists"
"94","M03493:516:000000000-L4LRP:1:1109:14165:4609","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","Cercomonas","unassigned","protists"
"95","M03493:516:000000000-L4LRP:1:1104:25787:22727","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"96","M03493:516:000000000-L4LRP:1:1108:16936:11574","Eukaryota","Cercozoa","Phytomyxea","unassigned","unassigned","Polymyxa","unassigned","protists"
"97","M03493:516:000000000-L4LRP:1:1102:7864:19450","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"98","M03493:516:000000000-L4LRP:1:1101:13766:7966","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"99","M03493:516:000000000-L4LRP:1:1101:27705:9954","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","Cercomonas","unassigned","protists"
"100","M03493:516:000000000-L4LRP:1:1103:15864:15369","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","unassigned","unassigned","protists"
"101","M03493:516:000000000-L4LRP:1:1103:24501:19201","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","unassigned","unassigned","protists"
"102","M03493:516:000000000-L4LRP:1:1101:14346:2776","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","Trinema","Cercomonadida environmental sample","protists"
"103","M03493:516:000000000-L4LRP:1:1109:24981:15464","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"104","M03493:516:000000000-L4LRP:1:1101:16936:5186","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","unassigned","unassigned","protists"
"105","M03493:516:000000000-L4LRP:1:1104:15166:8172","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","unassigned","unassigned","protists"
"106","M03493:516:000000000-L4LRP:1:1101:8482:3567","Eukaryota","Cercozoa","Vampyrellidae","unassigned","unassigned","unassigned","Platyreta germanica","protists"
"107","M03493:516:000000000-L4LRP:1:1102:16939:6862","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"108","M03493:516:000000000-L4LRP:1:2101:14378:21178","Eukaryota","Cercozoa","Imbricatea","Spongomonadida","unassigned","Spongomonas","unassigned","protists"
"109","M03493:516:000000000-L4LRP:1:1101:13093:28744","Eukaryota","Cercozoa","Imbricatea","unassigned","Thaumatomonadida","Gyromitus","unassigned","protists"
"110","M03493:516:000000000-L4LRP:1:1101:22874:25715","Eukaryota","Cercozoa","Imbricatea","unassigned","Thaumatomonadida","Gyromitus","Thaumatomastigidae environmental sample","protists"
"111","M03493:516:000000000-L4LRP:1:1102:14018:1857","Eukaryota","Cercozoa","Imbricatea","unassigned","Thaumatomonadida","unassigned","unassigned","protists"
"112","M03493:516:000000000-L4LRP:1:1102:14121:2588","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","unassigned","unassigned","protists"
"113","M03493:516:000000000-L4LRP:1:1101:26336:8238","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","unassigned","unassigned","protists"
"114","M03493:516:000000000-L4LRP:1:1101:20889:27142","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Proleptomonas","unassigned","protists"
"115","M03493:516:000000000-L4LRP:1:1101:2262:12580","Eukaryota","Cercozoa","Imbricatea","unassigned","Thaumatomonadida","unassigned","unassigned","protists"
"116","M03493:516:000000000-L4LRP:1:1102:4075:10239","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","unassigned","Euglypha penardi","protists"
"117","M03493:516:000000000-L4LRP:1:1101:15584:13418","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","unassigned","unassigned","protists"
"118","M03493:516:000000000-L4LRP:1:1108:17381:17886","Eukaryota","Cercozoa","Thecofilosea","unassigned","unassigned","unassigned","unassigned","protists"
"119","M03493:516:000000000-L4LRP:1:1106:10088:13602","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"120","M03493:516:000000000-L4LRP:1:1101:16445:2236","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","Paracercomonas","Paracercomonas paralaciniaegerens","protists"
"121","M03493:516:000000000-L4LRP:1:1101:7032:14032","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"122","M03493:516:000000000-L4LRP:1:1104:6760:8444","Eukaryota","Cercozoa","unassigned","unassigned","unassigned","unassigned","unassigned","protists"
"123","M03493:516:000000000-L4LRP:1:1101:22035:10104","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","unassigned","unassigned","protists"
"124","M03493:516:000000000-L4LRP:1:1103:18002:3777","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","unassigned","unassigned","protists"
"125","M03493:516:000000000-L4LRP:1:1101:10217:25776","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","unassigned","unassigned","protists"
"126","M03493:516:000000000-L4LRP:1:2101:8339:15625","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"127","M03493:516:000000000-L4LRP:1:1103:12041:17215","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","unassigned","unassigned","protists"
"128","M03493:516:000000000-L4LRP:1:1101:24198:19361","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","Cercomonas","Cercomonas directa","protists"
"129","M03493:516:000000000-L4LRP:1:1108:23700:10837","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","Bodomorpha sp.","protists"
"130","M03493:516:000000000-L4LRP:1:1102:13120:21442","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"131","M03493:516:000000000-L4LRP:1:1104:6498:18134","Eukaryota","Cercozoa","unassigned","unassigned","unassigned","Kraken","unassigned","protists"
"132","M03493:516:000000000-L4LRP:1:1104:22208:16503","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","Trinema","unassigned","protists"
"133","M03493:516:000000000-L4LRP:1:1102:7144:5127","Eukaryota","Cercozoa","Thecofilosea","unassigned","unassigned","unassigned","unassigned","protists"
"134","M03493:516:000000000-L4LRP:1:1101:29078:17398","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","Heteromita sp.","protists"
"135","M03493:516:000000000-L4LRP:1:1101:8405:11782","Eukaryota","Cercozoa","Imbricatea","unassigned","Thaumatomonadida","Gyromitus","Peregrinia clavideferens","protists"
"136","M03493:516:000000000-L4LRP:1:1101:6535:5897","Eukaryota","Cercozoa","Thecofilosea","unassigned","unassigned","unassigned","unassigned","protists"
"137","M03493:516:000000000-L4LRP:1:1101:18153:19592","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","unassigned","unassigned","protists"
"138","M03493:516:000000000-L4LRP:1:1101:25441:13324","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","Trinema","unassigned","protists"
"139","M03493:516:000000000-L4LRP:1:1101:19888:2238","Eukaryota","Cercozoa","Imbricatea","Spongomonadida","unassigned","Spongomonas","unassigned","protists"
"140","M03493:516:000000000-L4LRP:1:1101:15851:14878","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","Cercomonas","unassigned","protists"
"141","M03493:516:000000000-L4LRP:1:1101:25727:15497","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","Paracercomonas","unassigned","protists"
"142","M03493:516:000000000-L4LRP:1:1102:12015:12350","Eukaryota","Cercozoa","Imbricatea","unassigned","Thaumatomonadida","unassigned","unassigned","protists"
"143","M03493:516:000000000-L4LRP:1:1106:21715:10719","Eukaryota","Cercozoa","Thecofilosea","unassigned","unassigned","unassigned","unassigned","protists"
"144","M03493:516:000000000-L4LRP:1:1101:16965:16917","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","Cercomonas","unassigned","protists"
"145","M03493:516:000000000-L4LRP:1:1108:21694:9045","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","unassigned","unassigned","protists"
"146","M03493:516:000000000-L4LRP:1:1101:15554:10397","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"147","M03493:516:000000000-L4LRP:1:1107:20108:13594","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","Cercozoa sp.","protists"
"148","M03493:516:000000000-L4LRP:1:1106:13110:3967","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","Cercomonas","unassigned","protists"
"149","M03493:516:000000000-L4LRP:1:1101:17971:6679","Eukaryota","Cercozoa","Thecofilosea","unassigned","unassigned","unassigned","unassigned","protists"
"150","M03493:516:000000000-L4LRP:1:1105:22952:27102","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","unassigned","unassigned","protists"
"151","M03493:516:000000000-L4LRP:1:2104:26166:24227","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","Paracercomonas","Paracercomonas kruegeri","protists"
"152","M03493:516:000000000-L4LRP:1:1103:21560:17527","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","Sphenoderia","Sphenoderia valdiviana","protists"
"153","M03493:516:000000000-L4LRP:1:1104:10204:26414","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"154","M03493:516:000000000-L4LRP:1:1105:12190:10867","Eukaryota","Cercozoa","Imbricatea","unassigned","Thaumatomonadida","unassigned","unassigned","protists"
"155","M03493:516:000000000-L4LRP:1:1101:12018:9995","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","unassigned","unassigned","protists"
"156","M03493:516:000000000-L4LRP:1:1101:24614:10109","Eukaryota","Cercozoa","unassigned","unassigned","unassigned","unassigned","unassigned","protists"
"157","M03493:516:000000000-L4LRP:1:1101:27967:14656","Eukaryota","Cercozoa","unassigned","unassigned","unassigned","Gymnophrys","unassigned","protists"
"158","M03493:516:000000000-L4LRP:1:1105:21780:20527","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Orciraptor","Orciraptor agilis","protists"
"159","M03493:516:000000000-L4LRP:1:1103:12080:7605","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"160","M03493:516:000000000-L4LRP:1:1102:11056:22988","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","unassigned","unassigned","protists"
"161","M03493:516:000000000-L4LRP:1:1106:28351:12610","Eukaryota","Cercozoa","Imbricatea","unassigned","Thaumatomonadida","Thaumatomastix","Penardeugenia sp.","protists"
"162","M03493:516:000000000-L4LRP:1:1104:22090:7222","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","unassigned","unassigned","protists"
"163","M03493:516:000000000-L4LRP:1:1101:14261:12370","Eukaryota","Cercozoa","Phytomyxea","unassigned","unassigned","Polymyxa","unassigned","protists"
"164","M03493:516:000000000-L4LRP:1:1108:7450:20349","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"165","M03493:516:000000000-L4LRP:1:1102:15894:8209","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","unassigned","unassigned","protists"
"166","M03493:516:000000000-L4LRP:1:1101:24300:7203","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Proleptomonas","unassigned","protists"
"167","M03493:516:000000000-L4LRP:1:1102:8547:11761","Eukaryota","Cercozoa","unassigned","unassigned","unassigned","unassigned","unassigned","protists"
"168","M03493:516:000000000-L4LRP:1:1101:2692:13613","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","Cercomonas","unassigned","protists"
"169","M03493:516:000000000-L4LRP:1:1103:15647:25771","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"170","M03493:516:000000000-L4LRP:1:1106:21762:11341","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"171","M03493:516:000000000-L4LRP:1:1101:22899:25172","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","Paracercomonas","Paracercomonas sp.","protists"
"172","M03493:516:000000000-L4LRP:1:1104:14833:13051","Eukaryota","Cercozoa","unassigned","unassigned","unassigned","unassigned","unassigned","protists"
"173","M03493:516:000000000-L4LRP:1:1107:14588:25028","Eukaryota","Cercozoa","Phytomyxea","unassigned","unassigned","unassigned","Woronina pythii","protists"
"174","M03493:516:000000000-L4LRP:1:1108:14615:2334","Eukaryota","Cercozoa","Novel Clade 2","unassigned","unassigned","unassigned","unassigned","protists"
"175","M03493:516:000000000-L4LRP:1:1109:25511:10370","Eukaryota","Cercozoa","Thecofilosea","unassigned","unassigned","unassigned","unassigned","protists"
"176","M03493:516:000000000-L4LRP:1:1101:7033:13959","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","Cercomonas","Cercomonas sp.","protists"
