"","db","query","kingdom","phylum","class","order","family","genus","species","community"
"76","ncbi","Xysticus","Metazoa","Arthropoda","Arachnida","Araneae","Thomisidae","Xysticus","unassigned","macrofauna_foliar"
"77","ncbi","Larinioides","Metazoa","Arthropoda","Arachnida","Araneae","Araneidae","Larinioides","unassigned","macrofauna_foliar"
"78","ncbi","Clubionidae","Metazoa","Arthropoda","Arachnida","Araneae","Clubionidae","unassigned","unassigned","macrofauna_foliar"
"79","ncbi","Halyomorpha halys","Metazoa","Arthropoda","Insecta","Hemiptera","Pentatomidae","Halyomorpha","Halyomorpha halys","macrofauna_foliar"
"80","ncbi","Lebiinae","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","unassigned","unassigned","macrofauna_foliar"
"81","ncbi","Coreoidea","Metazoa","Arthropoda","Insecta","Hemiptera","unassigned","unassigned","unassigned","macrofauna_foliar"
"82","ncbi","Sphaeroderma","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Sphaeroderma","unassigned","macrofauna_foliar"
"83","ncbi","Scymnus","Metazoa","Arthropoda","Insecta","Coleoptera","Coccinellidae","Scymnus","unassigned","macrofauna_foliar"
"84","ncbi","Heteroptera","Metazoa","Arthropoda","Insecta","Hemiptera","unassigned","unassigned","unassigned","macrofauna_foliar"
"85","ncbi","Theridiidae","Metazoa","Arthropoda","Arachnida","Araneae","Theridiidae","unassigned","unassigned","macrofauna_foliar"
"86","ncbi","Psylloidea","Metazoa","Arthropoda","Insecta","Hemiptera","unassigned","unassigned","unassigned","macrofauna_foliar"
"87","ncbi","Phaneroptera","Metazoa","Arthropoda","Insecta","Orthoptera","Tettigoniidae","Phaneroptera","unassigned","macrofauna_foliar"
"88","itis","Corticariinae","Metazoa","Arthropoda","Insecta","Coleoptera","Latridiidae","unassigned","unassigned","macrofauna_foliar"
"89","itis","Anaspidinae","Metazoa","Arthropoda","Insecta","Coleoptera","Scraptiidae","unassigned","unassigned","macrofauna_foliar"
"90","itis","Parmulini","Metazoa","Arthropoda","Insecta","Coleoptera","Corylophidae","unassigned","unassigned","macrofauna_foliar"
"91","itis","Conoidasida","Protozoa","Apicomplexa","Conoidasida","unassigned","unassigned","unassigned","unassigned","macrofauna_foliar"
"92","unassigned","Pterygota","Metazoa","Arthropoda","Insecta","unassigned","unassigned","unassigned","unassigned","macrofauna_foliar"
"93","unassigned","Apioninae","Metazoa","Arthropoda","Insecta","Coleoptera","Brentidae","unassigned","unassigned","macrofauna_foliar"
"94","unassigned","Drapetini","Metazoa","Arthropoda","Insecta","Diptera","Hybotidae","unassigned","unassigned","macrofauna_foliar"
"95","unassigned","Tanaemyrmex","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","unassigned","macrofauna_foliar"
"96","unassigned","Dasytini","Metazoa","Arthropoda","Insecta","Coleoptera","Melyridae","unassigned","unassigned","macrofauna_foliar"
"97","unassigned","Acaridia","Metazoa","Arthropoda","Arachnida","Sarcoptiformes","Acaridae","unassigned","unassigned","macrofauna_foliar"
"98","unassigned","Araneinae","Metazoa","Arthropoda","Arachnida","Araneae","Araneidae","unassigned","unassigned","macrofauna_foliar"
"99","unassigned","Phonognathinae","Metazoa","Arthropoda","Arachnida","Araneae","Araneidae","unassigned","unassigned","macrofauna_foliar"
