;usage;bloc;treatment;habitat;rep;Year;id_sample;abundance;Species;Family;Class;stade;mass;name;rankName;fullName;genusName;familyName;orderName;className;phylumName
45;C;2;C;Cult;1;2023;ANI-23-0264;1;distinguendus;Carabidae;Insecta;adulte;0.03491;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
46;C;2;C;Cult;1;2023;ANI-23-0264;1;NA;Cicadellidae;Insecta;NA;NA;Cicadellidae;Famille;Cicadellidae Latreille, 1802;NA;Cicadellidae;Hemiptera;Insecta;Arthropoda
47;C;2;C;Cult;1;2023;ANI-23-0264;1;NA;Staphylinidae;Insecta;adulte;NA;Philonthina;NA;NA;NA;NA;NA;NA;NA
48;C;2;C;Cult;1;2023;ANI-23-0264;1;NA;Staphylinidae;Insecta;adulte;NA;Atheta;Genre;Atheta C.G.Thomson, 1858;Atheta;Staphylinidae;Coleoptera;Insecta;Arthropoda
49;C;2;C;Cult;1;2023;ANI-23-0264;2;NA;NA;Arachnida;NA;NA;Linyphiidae;Famille;Linyphiidae Blackwall, 1859;NA;Linyphiidae;Araneae;Arachnida;Arthropoda
50;C;2;C;Cult;1;2023;ANI-23-0264;1;NA;Staphylinidae;Insecta;adulte;NA;Aleocharinae;Sous-Famille;Aleocharinae Fleming, 1821;NA;Staphylinidae;Coleoptera;Insecta;Arthropoda
51;C;2;C;Cult;2;2023;ANI-23-0265;1;distinguendus;Carabidae;Insecta;adulte;0.04251;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
52;C;2;C;Cult;2;2023;ANI-23-0265;1;distinguendus;Carabidae;Insecta;adulte;0.02469;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
53;C;2;C;Cult;2;2023;ANI-23-0265;1;distinguendus;Carabidae;Insecta;adulte;0.0276;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
54;C;2;C;Cult;2;2023;ANI-23-0265;1;distinguendus;Carabidae;Insecta;adulte;0.02973;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
55;C;2;C;Cult;2;2023;ANI-23-0265;1;distinguendus;Carabidae;Insecta;adulte;0.03309;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
56;C;2;C;Cult;2;2023;ANI-23-0265;1;distinguendus;Carabidae;Insecta;adulte;0.03318;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
57;C;2;C;Cult;2;2023;ANI-23-0265;1;distinguendus;Carabidae;Insecta;adulte;0.03455;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
58;C;2;C;Cult;2;2023;ANI-23-0265;1;distinguendus;Carabidae;Insecta;adulte;0.03484;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
59;C;2;C;Cult;2;2023;ANI-23-0265;1;distinguendus;Carabidae;Insecta;adulte;0.03556;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
60;C;2;C;Cult;2;2023;ANI-23-0265;1;distinguendus;Carabidae;Insecta;adulte;0.03557;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
61;C;2;C;Cult;2;2023;ANI-23-0265;1;distinguendus;Carabidae;Insecta;adulte;0.03802;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
62;C;2;C;Cult;2;2023;ANI-23-0265;2;NA;Formicidae;Insecta;adulte;NA;Messor;Genre;Messor Forel, 1890;Messor;Formicidae;Hymenoptera;Insecta;Arthropoda
63;C;2;C;Cult;2;2023;ANI-23-0265;1;NA;Staphylinidae;Insecta;adulte;NA;Coprochara;Sous-Genre;Coprochara Mulsant & Rey, 1874;Aleochara;Staphylinidae;Coleoptera;Insecta;Arthropoda
64;C;2;C;Cult;2;2023;ANI-23-0265;1;NA;Staphylinidae;Insecta;adulte;NA;Atheta;Genre;Atheta C.G.Thomson, 1858;Atheta;Staphylinidae;Coleoptera;Insecta;Arthropoda
65;C;2;C;Cult;2;2023;ANI-23-0265;3;NA;NA;Arachnida;NA;NA;Linyphiidae;Famille;Linyphiidae Blackwall, 1859;NA;Linyphiidae;Araneae;Arachnida;Arthropoda
66;C;2;C;Cult;3;2023;ANI-23-0266;1;dispar;Carabidae;Insecta;adulte;0.02787;Harpalus dispar;Espèce;Harpalus dispar Dejean, 1829;Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
67;C;2;C;Cult;3;2023;ANI-23-0266;1;distinguendus;Carabidae;Insecta;adulte;0.0317;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
68;C;2;C;Cult;3;2023;ANI-23-0266;1;distinguendus;Carabidae;Insecta;adulte;0.03797;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
69;C;2;C;Cult;3;2023;ANI-23-0266;1;distinguendus;Carabidae;Insecta;adulte;0.02354;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
70;C;2;C;Cult;3;2023;ANI-23-0266;1;distinguendus;Carabidae;Insecta;adulte;0.03172;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
71;C;2;C;Cult;3;2023;ANI-23-0266;1;distinguendus;Carabidae;Insecta;adulte;0.03313;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
72;C;2;C;Cult;3;2023;ANI-23-0266;1;distinguendus;Carabidae;Insecta;adulte;0.03441;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
73;C;2;C;Cult;3;2023;ANI-23-0266;1;distinguendus;Carabidae;Insecta;adulte;0.03457;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
74;C;2;C;Cult;3;2023;ANI-23-0266;3;NA;Formicidae;Insecta;adulte;NA;Messor;Genre;Messor Forel, 1890;Messor;Formicidae;Hymenoptera;Insecta;Arthropoda
75;C;2;C;Cult;3;2023;ANI-23-0266;1;pallidula;Formicidae;Insecta;adulte;NA;Pheidole pallidula;Espèce;Pheidole pallidula (Nylander, 1849);Pheidole;Formicidae;Hymenoptera;Insecta;Arthropoda
76;C;2;C;Cult;3;2023;ANI-23-0266;1;NA;Staphylinidae;Insecta;adulte;NA;Coprochara;Sous-Genre;Coprochara Mulsant & Rey, 1874;Aleochara;Staphylinidae;Coleoptera;Insecta;Arthropoda
77;C;2;C;Cult;3;2023;ANI-23-0266;1;NA;NA;Insecta;adulte;NA;Atomaria;Genre;Atomaria Stephens, 1829;Atomaria;Cryptophagidae;Coleoptera;Insecta;Arthropoda
78;C;2;C;Cult;3;2023;ANI-23-0266;1;NA;Staphylinidae;Insecta;adulte;NA;Philonthina;NA;NA;NA;NA;NA;NA;NA
79;C;2;C;Cult;3;2023;ANI-23-0266;2;NA;Staphylinidae;Insecta;adulte;NA;Atheta;Genre;Atheta C.G.Thomson, 1858;Atheta;Staphylinidae;Coleoptera;Insecta;Arthropoda
80;C;2;C;Cult;3;2023;ANI-23-0266;2;NA;NA;Arachnida;NA;NA;Linyphiidae;Famille;Linyphiidae Blackwall, 1859;NA;Linyphiidae;Araneae;Arachnida;Arthropoda
81;C;2;C;Cult;4;2023;ANI-23-0267;1;distinguendus;Carabidae;Insecta;adulte;0.04163;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
82;C;2;C;Cult;4;2023;ANI-23-0267;1;distinguendus;Carabidae;Insecta;adulte;0.04189;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
83;C;2;C;Cult;4;2023;ANI-23-0267;1;distinguendus;Carabidae;Insecta;adulte;0.02115;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
84;C;2;C;Cult;4;2023;ANI-23-0267;1;distinguendus;Carabidae;Insecta;adulte;0.02525;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
85;C;2;C;Cult;4;2023;ANI-23-0267;1;distinguendus;Carabidae;Insecta;adulte;0.03073;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
86;C;2;C;Cult;4;2023;ANI-23-0267;1;distinguendus;Carabidae;Insecta;adulte;0.03094;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
87;C;2;C;Cult;4;2023;ANI-23-0267;1;distinguendus;Carabidae;Insecta;adulte;0.03112;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
88;C;2;C;Cult;4;2023;ANI-23-0267;1;distinguendus;Carabidae;Insecta;adulte;0.03132;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
89;C;2;C;Cult;4;2023;ANI-23-0267;1;distinguendus;Carabidae;Insecta;adulte;0.03173;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
90;C;2;C;Cult;4;2023;ANI-23-0267;1;distinguendus;Carabidae;Insecta;adulte;0.03363;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
91;C;2;C;Cult;4;2023;ANI-23-0267;1;distinguendus;Carabidae;Insecta;adulte;0.03372;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
92;C;2;C;Cult;4;2023;ANI-23-0267;1;distinguendus;Carabidae;Insecta;adulte;0.03479;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
93;C;2;C;Cult;4;2023;ANI-23-0267;1;distinguendus;Carabidae;Insecta;adulte;0.03651;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
94;C;2;C;Cult;4;2023;ANI-23-0267;1;distinguendus;Carabidae;Insecta;adulte;0.04056;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
95;C;2;C;Cult;4;2023;ANI-23-0267;1;distinguendus;Carabidae;Insecta;adulte;0.04262;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
96;C;2;C;Cult;4;2023;ANI-23-0267;1;distinguendus;Carabidae;Insecta;adulte;0.04436;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
97;C;2;C;Cult;4;2023;ANI-23-0267;1;distinguendus;Carabidae;Insecta;adulte;0.04455;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
98;C;2;C;Cult;4;2023;ANI-23-0267;1;distinguendus;Carabidae;Insecta;adulte;0.04486;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
99;C;2;C;Cult;4;2023;ANI-23-0267;1;distinguendus;Carabidae;Insecta;adulte;0.04704;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
100;C;2;C;Cult;4;2023;ANI-23-0267;1;distinguendus;Carabidae;Insecta;adulte;0.04816;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
101;C;2;C;Cult;4;2023;ANI-23-0267;1;distinguendus;Carabidae;Insecta;adulte;0.05458;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
102;C;2;C;Cult;4;2023;ANI-23-0267;1;distinguendus;Carabidae;Insecta;adulte;0.05651;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
103;C;2;C;Cult;4;2023;ANI-23-0267;1;NA;Staphylinidae;Insecta;adulte;NA;Coprochara;Sous-Genre;Coprochara Mulsant & Rey, 1874;Aleochara;Staphylinidae;Coleoptera;Insecta;Arthropoda
104;C;2;C;Cult;4;2023;ANI-23-0267;1;NA;NA;Arachnida;NA;NA;Phalangiinae;NA;NA;NA;NA;NA;NA;NA
105;C;2;C;Cult;5;2023;ANI-23-0268;1;distinguendus;Carabidae;Insecta;adulte;0.05879;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
106;C;2;C;Cult;5;2023;ANI-23-0268;1;distinguendus;Carabidae;Insecta;adulte;0.06011;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
107;C;2;C;Cult;5;2023;ANI-23-0268;1;distinguendus;Carabidae;Insecta;adulte;0.06407;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
108;C;2;C;Cult;5;2023;ANI-23-0268;1;distinguendus;Carabidae;Insecta;adulte;0.03136;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
109;C;2;C;Cult;5;2023;ANI-23-0268;1;distinguendus;Carabidae;Insecta;adulte;0.03351;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
110;C;2;C;Cult;5;2023;ANI-23-0268;1;distinguendus;Carabidae;Insecta;adulte;0.03411;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
111;C;2;C;Cult;5;2023;ANI-23-0268;1;distinguendus;Carabidae;Insecta;adulte;0.03869;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
112;C;2;C;Cult;5;2023;ANI-23-0268;1;distinguendus;Carabidae;Insecta;adulte;0.03932;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
113;C;2;C;Cult;5;2023;ANI-23-0268;1;distinguendus;Carabidae;Insecta;adulte;0.04342;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
114;C;2;C;Cult;5;2023;ANI-23-0268;1;distinguendus;Carabidae;Insecta;adulte;0.04659;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
115;C;2;C;Cult;5;2023;ANI-23-0268;1;distinguendus;Carabidae;Insecta;adulte;0.04707;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
116;C;2;C;Cult;5;2023;ANI-23-0268;1;distinguendus;Carabidae;Insecta;adulte;0.05091;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
117;C;2;C;Cult;5;2023;ANI-23-0268;1;distinguendus;Carabidae;Insecta;adulte;0.05231;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
118;C;2;C;Cult;5;2023;ANI-23-0268;1;distinguendus;Carabidae;Insecta;adulte;0.05518;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
119;C;2;C;Cult;5;2023;ANI-23-0268;1;NA;Formicidae;Insecta;adulte;NA;Messor;Genre;Messor Forel, 1890;Messor;Formicidae;Hymenoptera;Insecta;Arthropoda
120;C;2;C;Cult;5;2023;ANI-23-0268;1;pallidula;Formicidae;Insecta;adulte;NA;Pheidole pallidula;Espèce;Pheidole pallidula (Nylander, 1849);Pheidole;Formicidae;Hymenoptera;Insecta;Arthropoda
