"","name","year","usage","bloc","treatment","habitat","rep","id_sample","INat","abundance","stade","genusName","modalite","month","code","rankName","fullName","familyName","orderName","className","phylumName"
"15","Alticini",2023,"C",1,"C","Cult",4,"ANI-23-0307","ANI-23-0307-alti1",1,"Ad",NA,"C","04/23","1C4","Tribu","Alticini Newman, 1834","Chrysomelidae","Coleoptera","Insecta","Arthropoda"
"16","Alticini",2023,"C",1,"C","Cult",5,"ANI-23-0308","ANI-23-0308-coleo2",1,"Ad",NA,"C","04/23","1C5","Tribu","Alticini Newman, 1834","Chrysomelidae","Coleoptera","Insecta","Arthropoda"
"17","Alticini",2023,"AF",3,"C","LSA",4,"ANI-23-0335","ANI-23-0335-coleo3",1,"Ad",NA,"AF_LSA","04/23","3AF_LSA4","Tribu","Alticini Newman, 1834","Chrysomelidae","Coleoptera","Insecta","Arthropoda"
"18","Alysiinae",2023,"F",3,"C","Forest",4,"ANI-23-0222","ANI-23-0222-hym4",1,"Ad",NA,"F","03/23","3F4","Sous-Famille","Alysiinae Leach, 1815","Braconidae","Hymenoptera","Insecta","Arthropoda"
"19","Alysiini",2023,"F",1,"C","Forest",2,"ANI-23-0180","ANI-23-0180-hym1",1,"Ad",NA,"F","03/23","1F2","Tribu","Alysiini Leach, 1815","Braconidae","Hymenoptera","Insecta","Arthropoda"
"20","Alysiini",2023,"F",1,"C","Forest",4,"ANI-23-0182","ANI-23-0182-hym1",1,"Ad",NA,"F","03/23","1F4","Tribu","Alysiini Leach, 1815","Braconidae","Hymenoptera","Insecta","Arthropoda"
"21","Alysiini",2023,"F",2,"C","Forest",3,"ANI-23-0201","ANI-23-0201-hym3",1,"Ad",NA,"F","03/23","2F3","Tribu","Alysiini Leach, 1815","Braconidae","Hymenoptera","Insecta","Arthropoda"
"22","Alysiini",2023,"F",2,"C","Forest",4,"ANI-23-0202","ANI-23-0202-hym1",1,"Ad",NA,"F","03/23","2F4","Tribu","Alysiini Leach, 1815","Braconidae","Hymenoptera","Insecta","Arthropoda"
"23","Alysiini",2023,"F",2,"C","Forest",5,"ANI-23-0203","ANI-23-0203-hym2",1,"Ad",NA,"F","03/23","2F5","Tribu","Alysiini Leach, 1815","Braconidae","Hymenoptera","Insecta","Arthropoda"
"24","Alysiini",2023,"AF",1,"C","cult",4,"ANI-23-0176","ANI-23-0176-hym1",1,"Ad",NA,"AF_C","03/23","1AF_C4","Tribu","Alysiini Leach, 1815","Braconidae","Hymenoptera","Insecta","Arthropoda"
"25","Alysiini",2023,"AF",1,"C","LSA",5,"ANI-23-0177","ANI-23-0177-hym1",1,"Ad",NA,"AF_LSA","03/23","1AF_LSA5","Tribu","Alysiini Leach, 1815","Braconidae","Hymenoptera","Insecta","Arthropoda"
"26","Alysiini",2023,"F",2,"C","Forest",5,"ANI-23-0323","ANI-23-0323-hym1",1,"Ad",NA,"F","04/23","2F5","Tribu","Alysiini Leach, 1815","Braconidae","Hymenoptera","Insecta","Arthropoda"
"27","Alysiini",2023,"F",2,"C","Forest",5,"ANI-23-0323","ANI-23-0323-hym2",1,"Ad",NA,"F","04/23","2F5","Tribu","Alysiini Leach, 1815","Braconidae","Hymenoptera","Insecta","Arthropoda"
"28","Alysiini",2023,"F",2,"C","Forest",5,"ANI-23-0323","ANI-23-0323-hym4",1,"Ad",NA,"F","04/23","2F5","Tribu","Alysiini Leach, 1815","Braconidae","Hymenoptera","Insecta","Arthropoda"
"29","Alysiini",2023,"F",3,"C","Forest",1,"ANI-23-0339","ANI-23-0339-hym3",1,"Ad",NA,"F","04/23","3F1","Tribu","Alysiini Leach, 1815","Braconidae","Hymenoptera","Insecta","Arthropoda"
"30","Alysiini",2023,"F",3,"C","Forest",1,"ANI-23-0339","ANI-23-0339-hym4",1,"Ad",NA,"F","04/23","3F1","Tribu","Alysiini Leach, 1815","Braconidae","Hymenoptera","Insecta","Arthropoda"
"31","Alysiini",2023,"F",3,"C","Forest",2,"ANI-23-0340","ANI-23-0340-hym4",1,"Ad",NA,"F","04/23","3F2","Tribu","Alysiini Leach, 1815","Braconidae","Hymenoptera","Insecta","Arthropoda"
"32","Alysiini",2023,"F",3,"C","Forest",3,"ANI-23-0341","ANI-23-0341-hym6",1,"Ad",NA,"F","04/23","3F3","Tribu","Alysiini Leach, 1815","Braconidae","Hymenoptera","Insecta","Arthropoda"
"33","Alysiini",2023,"F",3,"C","Forest",3,"ANI-23-0341","ANI-23-0341-hym7",1,"Ad",NA,"F","04/23","3F3","Tribu","Alysiini Leach, 1815","Braconidae","Hymenoptera","Insecta","Arthropoda"
"34","Amara aenea",2023,"F",2,"C","Forest",2,"ANI-23-0200","ANI-23-0200-am1",1,"Ad","Amara","F","03/23","2F2","Espèce","Amara aenea (De Geer, 1774)","Carabidae","Coleoptera","Insecta","Arthropoda"
"35","Amara aenea",2023,"C",2,"C","Cult",5,"ANI-23-0328","ANI-23-0328-carab1",1,"Ad","Amara","C","04/23","2C5","Espèce","Amara aenea (De Geer, 1774)","Carabidae","Coleoptera","Insecta","Arthropoda"
"36","Amara aenea",2023,"F",2,"C","Forest",1,"ANI-23-0319","ANI-23-0319-ama1",1,"Ad","Amara","F","04/23","2F1","Espèce","Amara aenea (De Geer, 1774)","Carabidae","Coleoptera","Insecta","Arthropoda"
"37","Ametastegia glabrata",2023,"AF",2,"C","LSA",3,"ANI-23-0193","ANI-23-0193-ag1",1,"Ad","Ametastegia","AF_LSA","03/23","2AF_LSA3","Espèce","Ametastegia glabrata (Fallén, 1808)","Tenthredinidae","Hymenoptera","Insecta","Arthropoda"
"38","Ametastegia glabrata",2023,"AF",3,"C","cult",5,"ANI-23-0218","ANI-23-0312-tenth1",1,"Ad","Ametastegia","AF_C","03/23","3AF_C5","Espèce","Ametastegia glabrata (Fallén, 1808)","Tenthredinidae","Hymenoptera","Insecta","Arthropoda"
"39","Ametastegia glabrata",2023,"F",2,"C","Forest",1,"ANI-23-0319","ANI-23-0319-symph1",1,"Ad","Ametastegia","F","04/23","2F1","Espèce","Ametastegia glabrata (Fallén, 1808)","Tenthredinidae","Hymenoptera","Insecta","Arthropoda"
"40","Ametastegia glabrata",2023,"AF",2,"C","LSA",3,"ANI-23-0313","ANI-23-0312-tenth1",1,"Ad","Ametastegia","AF_LSA","04/23","2AF_LSA3","Espèce","Ametastegia glabrata (Fallén, 1808)","Tenthredinidae","Hymenoptera","Insecta","Arthropoda"
"41","Ametastegia glabrata",2023,"AF",3,"C","LSA",3,"ANI-23-0333",NA,1,"Ad","Ametastegia","AF_LSA","04/23","3AF_LSA3","Espèce","Ametastegia glabrata (Fallén, 1808)","Tenthredinidae","Hymenoptera","Insecta","Arthropoda"
"42","Ametastegia glabrata",2023,"AF",2,"C","cult",2,"ANI-23-0312","ANI-23-0312-tenth1",1,"Ad","Ametastegia","AF_C","04/23","2AF_C2","Espèce","Ametastegia glabrata (Fallén, 1808)","Tenthredinidae","Hymenoptera","Insecta","Arthropoda"
"43","Ametastegia glabrata",2023,"AF",3,"C","cult",2,"ANI-23-0332","ANI-23-0319-symph1",2,"Ad","Ametastegia","AF_C","04/23","3AF_C2","Espèce","Ametastegia glabrata (Fallén, 1808)","Tenthredinidae","Hymenoptera","Insecta","Arthropoda"
"44","Ametastegia glabrata",2023,"AF",3,"C","cult",3,"ANI-23-0334",NA,1,"Ad","Ametastegia","AF_C","04/23","3AF_C3","Espèce","Ametastegia glabrata (Fallén, 1808)","Tenthredinidae","Hymenoptera","Insecta","Arthropoda"
"45","Ametastegia glabrata",2023,"AF",3,"C","cult",5,"ANI-23-0338","ANI-23-0319-symph1",1,"Ad","Ametastegia","AF_C","04/23","3AF_C5","Espèce","Ametastegia glabrata (Fallén, 1808)","Tenthredinidae","Hymenoptera","Insecta","Arthropoda"
"46","Anacharitinae",2023,"F",2,"C","Forest",1,"ANI-23-0319","ANI-23-0319-hym1",2,"Ad",NA,"F","04/23","2F1","Sous-Famille","Anacharitinae Thomson, 1862","Figitidae","Hymenoptera","Insecta","Arthropoda"
"47","Ancistrocerus",2023,"F",1,"C","Forest",1,"ANI-23-0179","ANI-23-0317-hymeno1",1,"Ad","Ancistrocerus","F","03/23","1F1","Genre","Ancistrocerus Wesmael, 1836","Vespidae","Hymenoptera","Insecta","Arthropoda"
"48","Ancistrocerus",2023,"AF",2,"C","LSA",5,"ANI-23-0317","ANI-23-0317-hymeno1",1,"Ad","Ancistrocerus","AF_LSA","04/23","2AF_LSA5","Genre","Ancistrocerus Wesmael, 1836","Vespidae","Hymenoptera","Insecta","Arthropoda"
"49","Andrena",2023,"F",3,"C","Forest",1,"ANI-23-0339","ANI-23-0339-apoi2",3,"Ad","Andrena","F","04/23","3F1","Genre","Andrena Fabricius, 1775","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"50","Andrenidae",2023,"C",1,"C","Cult",1,"ANI-23-0184",NA,1,"Ad",NA,"C","03/23","1C1","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"51","Andrenidae",2023,"C",1,"C","Cult",2,"ANI-23-0185",NA,1,"Ad",NA,"C","03/23","1C2","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"52","Andrenidae",2023,"C",1,"C","Cult",5,"ANI-23-0188",NA,2,"Ad",NA,"C","03/23","1C5","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"53","Andrenidae",2023,"C",2,"C","Cult",1,"ANI-23-0204",NA,1,"Ad",NA,"C","03/23","2C1","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"54","Andrenidae",2023,"C",2,"C","Cult",2,"ANI-23-0205",NA,1,"Ad",NA,"C","03/23","2C2","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"55","Andrenidae",2023,"C",2,"C","Cult",3,"ANI-23-0206",NA,1,"Ad",NA,"C","03/23","2C3","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"56","Andrenidae",2023,"C",3,"C","Cult",1,"ANI-23-0224",NA,2,"Ad",NA,"C","03/23","3C1","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"57","Andrenidae",2023,"C",3,"C","Cult",2,"ANI-23-0225",NA,5,"Ad",NA,"C","03/23","3C2","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"58","Andrenidae",2023,"C",3,"C","Cult",3,"ANI-23-0226",NA,5,"Ad",NA,"C","03/23","3C3","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"59","Andrenidae",2023,"C",3,"C","Cult",4,"ANI-23-0227",NA,2,"Ad",NA,"C","03/23","3C4","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"60","Andrenidae",2023,"C",3,"C","Cult",5,"ANI-23-0228",NA,5,"Ad",NA,"C","03/23","3C5","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"61","Andrenidae",2023,"F",2,"C","Forest",2,"ANI-23-0200",NA,2,"Ad",NA,"F","03/23","2F2","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"62","Andrenidae",2023,"F",2,"C","Forest",3,"ANI-23-0201",NA,3,"Ad",NA,"F","03/23","2F3","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"63","Andrenidae",2023,"F",2,"C","Forest",4,"ANI-23-0202",NA,2,"Ad",NA,"F","03/23","2F4","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"64","Andrenidae",2023,"F",2,"C","Forest",5,"ANI-23-0203",NA,1,"Ad",NA,"F","03/23","2F5","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"65","Andrenidae",2023,"F",3,"C","Forest",1,"ANI-23-0219",NA,1,"Ad",NA,"F","03/23","3F1","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"66","Andrenidae",2023,"F",3,"C","Forest",3,"ANI-23-0221",NA,2,"Ad",NA,"F","03/23","3F3","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"67","Andrenidae",2023,"F",3,"C","Forest",4,"ANI-23-0222",NA,1,"Ad",NA,"F","03/23","3F4","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"68","Andrenidae",2023,"F",3,"C","Forest",5,"ANI-23-0223",NA,1,"Ad",NA,"F","03/23","3F5","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"69","Andrenidae",2023,"AF",1,"C","LSA",1,"ANI-23-0169",NA,2,"Ad",NA,"AF_LSA","03/23","1AF_LSA1","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"70","Andrenidae",2023,"AF",1,"C","LSA",3,"ANI-23-0173",NA,1,"Ad",NA,"AF_LSA","03/23","1AF_LSA3","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"71","Andrenidae",2023,"AF",2,"C","LSA",2,"ANI-23-0191",NA,2,"Ad",NA,"AF_LSA","03/23","2AF_LSA2","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"72","Andrenidae",2023,"AF",2,"C","LSA",3,"ANI-23-0193",NA,1,"Ad",NA,"AF_LSA","03/23","2AF_LSA3","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"73","Andrenidae",2023,"AF",3,"C","LSA",1,"ANI-23-0209",NA,1,"Ad",NA,"AF_LSA","03/23","3AF_LSA1","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"74","Andrenidae",2023,"AF",3,"C","LSA",2,"ANI-23-0211",NA,2,"Ad",NA,"AF_LSA","03/23","3AF_LSA2","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"75","Andrenidae",2023,"AF",3,"C","LSA",4,"ANI-23-0215",NA,1,"Ad",NA,"AF_LSA","03/23","3AF_LSA4","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"76","Andrenidae",2023,"AF",3,"C","LSA",5,"ANI-23-0217",NA,1,"Ad",NA,"AF_LSA","03/23","3AF_LSA5","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"77","Andrenidae",2023,"AF",1,"C","cult",1,"ANI-23-0170",NA,3,"Ad",NA,"AF_C","03/23","1AF_C1","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"78","Andrenidae",2023,"AF",1,"C","cult",3,"ANI-23-0174",NA,1,"Ad",NA,"AF_C","03/23","1AF_C3","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"79","Andrenidae",2023,"AF",1,"C","cult",4,"ANI-23-0176",NA,2,"Ad",NA,"AF_C","03/23","1AF_C4","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"80","Andrenidae",2023,"AF",2,"C","cult",1,"ANI-23-0190",NA,1,"Ad",NA,"AF_C","03/23","2AF_C1","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"81","Andrenidae",2023,"AF",2,"C","cult",4,"ANI-23-0196",NA,2,"Ad",NA,"AF_C","03/23","2AF_C4","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"82","Andrenidae",2023,"AF",3,"C","cult",1,"ANI-23-0210",NA,1,"Ad",NA,"AF_C","03/23","3AF_C1","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"83","Andrenidae",2023,"C",1,"C","Cult",1,"ANI-23-0304",NA,1,"Ad",NA,"C","04/23","1C1","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"84","Andrenidae",2023,"C",1,"C","Cult",2,"ANI-23-0305",NA,1,"Ad",NA,"C","04/23","1C2","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"85","Andrenidae",2023,"C",1,"C","Cult",4,"ANI-23-0307",NA,2,"Ad",NA,"C","04/23","1C4","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"86","Andrenidae",2023,"C",1,"C","Cult",5,"ANI-23-0308",NA,3,"Ad",NA,"C","04/23","1C5","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"87","Andrenidae",2023,"C",2,"C","Cult",1,"ANI-23-0324",NA,1,"Ad",NA,"C","04/23","2C1","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"88","Andrenidae",2023,"C",2,"C","Cult",4,"ANI-23-0327",NA,3,"Ad",NA,"C","04/23","2C4","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"89","Andrenidae",2023,"C",2,"C","Cult",5,"ANI-23-0328",NA,1,"Ad",NA,"C","04/23","2C5","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"90","Andrenidae",2023,"C",3,"C","Cult",3,"ANI-23-0346",NA,1,"Ad",NA,"C","04/23","3C3","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"91","Andrenidae",2023,"C",3,"C","Cult",4,"ANI-23-0347",NA,3,"Ad",NA,"C","04/23","3C4","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"92","Andrenidae",2023,"F",1,"C","Forest",1,"ANI-23-0299",NA,1,"Ad",NA,"F","04/23","1F1","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"93","Andrenidae",2023,"F",1,"C","Forest",2,"ANI-23-0300",NA,1,"Ad",NA,"F","04/23","1F2","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"94","Andrenidae",2023,"F",1,"C","Forest",3,"ANI-23-0301",NA,2,"Ad",NA,"F","04/23","1F3","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"95","Andrenidae",2023,"F",1,"C","Forest",4,"ANI-23-0302",NA,2,"Ad",NA,"F","04/23","1F4","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"96","Andrenidae",2023,"F",1,"C","Forest",5,"ANI-23-0303",NA,2,"Ad",NA,"F","04/23","1F5","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"97","Andrenidae",2023,"F",2,"C","Forest",2,"ANI-23-0320",NA,1,"Ad",NA,"F","04/23","2F2","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"98","Andrenidae",2023,"F",2,"C","Forest",4,"ANI-23-0322",NA,2,"Ad",NA,"F","04/23","2F4","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"99","Andrenidae",2023,"F",3,"C","Forest",2,"ANI-23-0340",NA,1,"Ad",NA,"F","04/23","3F2","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"100","Andrenidae",2023,"AF",2,"C","LSA",5,"ANI-23-0317",NA,1,"Ad",NA,"AF_LSA","04/23","2AF_LSA5","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"101","Andrenidae",2023,"F",3,"C","Forest",4,"ANI-23-0342",NA,2,"Ad",NA,"F","04/23","3F4","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"102","Andrenidae",2023,"F",3,"C","Forest",5,"ANI-23-0343",NA,2,"Ad",NA,"F","04/23","3F5","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"103","Andrenidae",2023,"AF",1,"C","LSA",1,"ANI-23-0289",NA,1,"Ad",NA,"AF_LSA","04/23","1AF_LSA1","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"104","Andrenidae",2023,"AF",1,"C","LSA",4,"ANI-23-0295",NA,2,"Ad",NA,"AF_LSA","04/23","1AF_LSA4","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"105","Andrenidae",2023,"AF",2,"C","LSA",1,"ANI-23-0309",NA,1,"Ad",NA,"AF_LSA","04/23","2AF_LSA1","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"106","Andrenidae",2023,"AF",2,"C","LSA",2,"ANI-23-0311",NA,1,"Ad",NA,"AF_LSA","04/23","2AF_LSA2","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"107","Andrenidae",2023,"AF",3,"C","LSA",2,"ANI-23-0331",NA,1,"Ad",NA,"AF_LSA","04/23","3AF_LSA2","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"108","Andrenidae",2023,"AF",3,"C","LSA",3,"ANI-23-0333",NA,1,"Ad",NA,"AF_LSA","04/23","3AF_LSA3","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"109","Andrenidae",2023,"AF",3,"C","LSA",4,"ANI-23-0335",NA,1,"Ad",NA,"AF_LSA","04/23","3AF_LSA4","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"110","Andrenidae",2023,"AF",3,"C","LSA",5,"ANI-23-0337",NA,1,"Ad",NA,"AF_LSA","04/23","3AF_LSA5","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"111","Andrenidae",2023,"AF",1,"C","cult",2,"ANI-23-0292",NA,1,"Ad",NA,"AF_C","04/23","1AF_C2","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"112","Andrenidae",2023,"AF",3,"C","cult",5,"ANI-23-0338",NA,2,"Ad",NA,"AF_C","04/23","3AF_C5","Famille","Andrenidae Latreille, 1802","Andrenidae","Hymenoptera","Insecta","Arthropoda"
"113","Anogcodes",2023,"C",2,"C","Cult",1,"ANI-23-0324","ANI-23-0309-coleo1",1,"Ad","Anogcodes","C","04/23","2C1","Genre","Anogcodes Dejean, 1834","Oedemeridae","Coleoptera","Insecta","Arthropoda"
"114","Anogcodes",2023,"F",2,"C","Forest",1,"ANI-23-0319","ANI-23-0309-coleo1",1,"Ad","Anogcodes","F","04/23","2F1","Genre","Anogcodes Dejean, 1834","Oedemeridae","Coleoptera","Insecta","Arthropoda"
"115","Anogcodes",2023,"F",2,"C","Forest",5,"ANI-23-0323","ANI-23-0323-coleo1",1,"Ad","Anogcodes","F","04/23","2F5","Genre","Anogcodes Dejean, 1834","Oedemeridae","Coleoptera","Insecta","Arthropoda"
"116","Anogcodes",2023,"F",3,"C","Forest",3,"ANI-23-0341","ANI-23-0309-coleo1",1,"Ad","Anogcodes","F","04/23","3F3","Genre","Anogcodes Dejean, 1834","Oedemeridae","Coleoptera","Insecta","Arthropoda"
"117","Anogcodes",2023,"AF",2,"C","LSA",1,"ANI-23-0309","ANI-23-0309-coleo1",2,"Ad","Anogcodes","AF_LSA","04/23","2AF_LSA1","Genre","Anogcodes Dejean, 1834","Oedemeridae","Coleoptera","Insecta","Arthropoda"
