"","db","query","kingdom","phylum","class","order","family","genus","species"
"110","ncbi","Arrhopalites gr.caecus",NA,NA,NA,NA,NA,NA,NA
"111","itis","Isotoma viridis","Animalia","Arthropoda","Collembola","Collembola","Isotomidae","Isotoma","Isotoma viridis"
"112","ncbi","Isotoma viridis","Metazoa","Arthropoda","Collembola","Entomobryomorpha","Isotomidae","Isotoma","Isotoma viridis"
"113","itis","Seira sp",NA,NA,NA,NA,NA,NA,NA
"114","ncbi","Seira sp",NA,NA,NA,NA,NA,NA,NA
"115","itis","Isotomurus sp",NA,NA,NA,NA,NA,NA,NA
"116","ncbi","Isotomurus sp",NA,NA,NA,NA,NA,NA,NA
"117","itis","Proisotoma minuta","Animalia","Arthropoda","Collembola","Collembola","Isotomidae","Proisotoma","Proisotoma minuta"
"118","ncbi","Proisotoma minuta","Metazoa","Arthropoda","Collembola","Entomobryomorpha","Isotomidae","Proisotoma","Proisotoma minuta"
"119","itis","Tullbergidae",NA,NA,NA,NA,NA,NA,NA
"120","ncbi","Tullbergidae",NA,NA,NA,NA,NA,NA,NA
"121","itis","Sminthurinus aureus","Animalia","Arthropoda","Collembola","Collembola","Katiannidae","Sminthurinus","Sminthurinus aureus"
"122","ncbi","Sminthurinus aureus","Metazoa","Arthropoda","Collembola","Symphypleona","Katiannidae","Sminthurinus","Sminthurinus aureus"
"123","itis","Hypogastrura manubrialis","Animalia","Arthropoda","Collembola","Collembola","Hypogastruridae","Hypogastrura","Hypogastrura manubrialis"
"124","ncbi","Hypogastrura manubrialis",NA,NA,NA,NA,NA,NA,NA
"125","itis","Hypogastrura vernalis","Animalia","Arthropoda","Collembola","Collembola","Hypogastruridae","Hypogastrura","Hypogastrura vernalis"
"126","ncbi","Hypogastrura vernalis","Metazoa","Arthropoda","Collembola","Poduromorpha","Hypogastruridae","Hypogastrura","Hypogastrura vernalis"
"127","itis","Neanuridae","Animalia","Arthropoda","Collembola","Collembola","Neanuridae",NA,NA
"128","ncbi","Neanuridae","Metazoa","Arthropoda","Collembola","Poduromorpha","Neanuridae",NA,NA
"129","itis","Isotomiella paraminor",NA,NA,NA,NA,NA,NA,NA
"130","ncbi","Isotomiella paraminor","Metazoa","Arthropoda","Collembola","Entomobryomorpha","Isotomidae","Isotomiella","Isotomiella paraminor"
"131","itis","Isotomiella minor","Animalia","Arthropoda","Collembola","Collembola","Isotomidae","Isotomiella","Isotomiella minor"
"132","ncbi","Isotomiella minor","Metazoa","Arthropoda","Collembola","Entomobryomorpha","Isotomidae","Isotomiella","Isotomiella minor"
"133","itis","Sminthurides signatus",NA,NA,NA,NA,NA,NA,NA
"134","ncbi","Sminthurides signatus","Metazoa","Arthropoda","Collembola","Symphypleona","Sminthurididae","Sminthurides","Sminthurides signatus"
"135","itis","Desoria trispinata",NA,NA,NA,NA,NA,NA,NA
"136","ncbi","Desoria trispinata","Metazoa","Arthropoda","Collembola","Entomobryomorpha","Isotomidae","Desoria","Desoria trispinata"
"137","itis","Sminthurus viridis","Animalia","Arthropoda","Collembola","Collembola","Sminthuridae","Sminthurus","Sminthurus viridis"
"138","ncbi","Sminthurus viridis","Metazoa","Arthropoda","Collembola","Symphypleona","Sminthuridae","Sminthurus","Sminthurus viridis"
"139","itis","Entomobrya aff.multifasciata",NA,NA,NA,NA,NA,NA,NA
"140","ncbi","Entomobrya aff.multifasciata",NA,NA,NA,NA,NA,NA,NA
"141","itis","Isotomodes trisetosus","Animalia","Arthropoda","Collembola","Collembola","Isotomidae","Isotomodes","Isotomodes trisetosus"
"142","ncbi","Isotomodes trisetosus",NA,NA,NA,NA,NA,NA,NA
"143","itis","Ceratophysella gibbosa","Animalia","Arthropoda","Collembola","Collembola","Hypogastruridae","Ceratophysella","Ceratophysella gibbosa"
"144","ncbi","Ceratophysella gibbosa","Metazoa","Arthropoda","Collembola","Poduromorpha","Hypogastruridae","Ceratophysella","Ceratophysella gibbosa"
