"","kingdom","phylum","class","order","family","genus","species","abr_1_guild_level_2_AND","abr_2_guild_level_3_AND","abr_3_guild_level_4_AND","abr_4_guild_level_5_AND","abr_all_guild_level_AND","consumer","potential","interaction_matchName","resource_matchName"
"Coccinella septempunctata","Metazoa","Arthropoda","Insecta","Coleoptera","Coccinellidae","Coccinella","Coccinella septempunctata","het_carnivoreANDhet_herbivoreANDhet_unassigned","car_predatorANDher_unassignedANDuna_unassigned","pre_unassignedANDuna_unassigned","una_unassigned","het_car_pre_una_unaANDhet_her_una_una_unaANDhet_una_una_una_una","primary","bioag. and auxil.","not observed","not observed"
"Coccinellidae","Metazoa","Arthropoda","Insecta","Coleoptera","Coccinellidae","unassigned","unassigned","het_carnivoreANDhet_herbivoreANDhet_unassigned","car_predatorANDher_unassignedANDuna_unassigned","pre_unassignedANDuna_unassigned","una_unassigned","het_car_pre_una_unaANDhet_her_una_una_unaANDhet_una_una_una_una","primary","bioag. and auxil.","not observed","not observed"
"Coleoptera","Metazoa","Arthropoda","Insecta","Coleoptera","unassigned","unassigned","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Corticariinae","Metazoa","Arthropoda","Insecta","Coleoptera","Latridiidae","unassigned","unassigned","het_microbivoreANDhet_unassigned","mic_microphytophageANDuna_unassigned","mic_fungivoreANDuna_unassigned","fun_unassignedANDuna_unassigned","het_mic_mic_fun_unaANDhet_una_una_una_una","untargeted","any","not observed","not observed"
"Corylophidae","Metazoa","Arthropoda","Insecta","Coleoptera","Corylophidae","unassigned","unassigned","het_decomposerANDhet_unassigned","dec_detritivoreANDuna_unassigned","det_unassignedANDuna_unassigned","una_unassigned","het_dec_det_una_unaANDhet_una_una_una_una","untargeted","any","not observed","not observed"
"Deltocephalinae","Metazoa","Arthropoda","Insecta","Hemiptera","Cicadellidae","unassigned","unassigned","het_herbivoreANDhet_unassigned","her_unassignedANDuna_unassigned","una_unassigned","una_unassigned","het_her_una_una_unaANDhet_una_una_una_una","primary","bioag. and auxil.","not observed","not observed"
"Dermestidae","Metazoa","Arthropoda","Insecta","Coleoptera","Dermestidae","unassigned","unassigned","het_decomposerANDhet_unassigned","dec_detritivoreANDuna_unassigned","det_unassignedANDuna_unassigned","una_unassigned","het_dec_det_una_unaANDhet_una_una_una_una","untargeted","any","not observed","not observed"
"Diplopoda","Metazoa","Arthropoda","Diplopoda","unassigned","unassigned","unassigned","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Diptera","Metazoa","Arthropoda","Insecta","Diptera","unassigned","unassigned","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Elateridae","Metazoa","Arthropoda","Insecta","Coleoptera","Elateridae","unassigned","unassigned","het_carnivoreANDhet_decomposerANDhet_herbivoreANDhet_unassigned","car_predatorANDdec_detritivoreANDher_unassignedANDuna_unassigned","det_unassignedANDpre_unassignedANDuna_unassigned","una_unassigned","het_car_pre_una_unaANDhet_dec_det_una_unaANDhet_her_una_una_unaANDhet_una_una_una_una","primary","bioag. and auxil.","observed","other resource"
"Erigone","Metazoa","Arthropoda","Arachnida","Araneae","Linyphiidae","Erigone","unassigned","het_carnivoreANDhet_unassigned","car_predatorANDuna_unassigned","pre_unassignedANDuna_unassigned","una_unassigned","het_car_pre_una_unaANDhet_una_una_una_una","secondary","auxil.","not observed","not observed"
"Euborellia moesta","Metazoa","Arthropoda","Insecta","Dermaptera","Anisolabididae","Euborellia","Euborellia moesta","het_carnivoreANDhet_decomposerANDhet_unassigned","car_predatorANDdec_detritivoreANDuna_unassigned","det_unassignedANDpre_unassignedANDuna_unassigned","una_unassigned","het_car_pre_una_unaANDhet_dec_det_una_unaANDhet_una_una_una_una","secondary","auxil.","not observed","not observed"
"Eucinetus haemorrhoidalis","Metazoa","Arthropoda","Insecta","Coleoptera","Eucinetidae","Eucinetus","Eucinetus haemorrhoidalis","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Gastropoda","Metazoa","Mollusca","Gastropoda","unassigned","unassigned","unassigned","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Geophilomorpha","Metazoa","Arthropoda","Chilopoda","Geophilomorpha","unassigned","unassigned","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Gnaphosidae","Metazoa","Arthropoda","Arachnida","Araneae","Gnaphosidae","unassigned","unassigned","het_carnivoreANDhet_unassigned","car_predatorANDuna_unassigned","pre_unassignedANDuna_unassigned","una_unassigned","het_car_pre_una_unaANDhet_una_una_una_una","secondary","auxil.","not observed","not observed"
"Harpalus affinis","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalus","Harpalus affinis","het_carnivoreANDhet_herbivoreANDhet_unassigned","car_predatorANDher_unassignedANDuna_unassigned","pre_unassignedANDuna_unassigned","una_unassigned","het_car_pre_una_unaANDhet_her_una_una_unaANDhet_una_una_una_una","primary","bioag. and auxil.","not observed","not observed"
"Harpalus distinguendus","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalus","Harpalus distinguendus","het_carnivoreANDhet_herbivoreANDhet_unassigned","car_predatorANDher_unassignedANDuna_unassigned","pre_unassignedANDuna_unassigned","una_unassigned","het_car_pre_una_unaANDhet_her_una_una_unaANDhet_una_una_una_una","primary","bioag. and auxil.","not observed","not observed"
"Harpalus serripes","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalus","Harpalus serripes","het_carnivoreANDhet_herbivoreANDhet_unassigned","car_predatorANDher_unassignedANDuna_unassigned","pre_unassignedANDuna_unassigned","una_unassigned","het_car_pre_una_unaANDhet_her_una_una_unaANDhet_una_una_una_una","primary","bioag. and auxil.","not observed","not observed"
"Hemiptera","Metazoa","Arthropoda","Insecta","Hemiptera","unassigned","unassigned","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Hippodamia variegata","Metazoa","Arthropoda","Insecta","Coleoptera","Coccinellidae","Hippodamia","Hippodamia variegata","het_carnivoreANDhet_herbivoreANDhet_unassigned","car_predatorANDher_unassignedANDuna_unassigned","pre_unassignedANDuna_unassigned","una_unassigned","het_car_pre_una_unaANDhet_her_una_una_unaANDhet_una_una_una_una","primary","bioag. and auxil.","not observed","not observed"
"Histeridae","Metazoa","Arthropoda","Insecta","Coleoptera","Histeridae","unassigned","unassigned","het_carnivoreANDhet_decomposerANDhet_unassigned","car_predatorANDdec_detritivoreANDuna_unassigned","det_unassignedANDpre_unassignedANDuna_unassigned","una_unassigned","het_car_pre_una_unaANDhet_dec_det_una_unaANDhet_una_una_una_una","secondary","auxil.","not observed","not observed"
"Hymenoptera","Metazoa","Arthropoda","Insecta","Hymenoptera","unassigned","unassigned","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Insecta","Metazoa","Arthropoda","Insecta","unassigned","unassigned","unassigned","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Latridiidae","Metazoa","Arthropoda","Insecta","Coleoptera","Latridiidae","unassigned","unassigned","het_microbivoreANDhet_unassigned","mic_microphytophageANDuna_unassigned","mic_fungivoreANDuna_unassigned","fun_unassignedANDuna_unassigned","het_mic_mic_fun_unaANDhet_una_una_una_una","untargeted","any","not observed","not observed"
"Lepidoptera","Metazoa","Arthropoda","Insecta","Lepidoptera","unassigned","unassigned","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Leptaleus rodriguesi","Metazoa","Arthropoda","Insecta","Coleoptera","Anthicidae","Leptaleus","Leptaleus rodriguesi","het_carnivoreANDhet_decomposerANDhet_unassigned","car_predatorANDdec_detritivoreANDuna_unassigned","det_unassignedANDpre_unassignedANDuna_unassigned","una_unassigned","het_car_pre_una_unaANDhet_dec_det_una_unaANDhet_una_una_una_una","secondary","auxil.","not observed","not observed"
"Linyphiidae","Metazoa","Arthropoda","Arachnida","Araneae","Linyphiidae","unassigned","unassigned","het_carnivoreANDhet_unassigned","car_predatorANDuna_unassigned","pre_unassignedANDuna_unassigned","una_unassigned","het_car_pre_una_unaANDhet_una_una_una_una","secondary","auxil.","not observed","not observed"
"Lycosidae","Metazoa","Arthropoda","Arachnida","Araneae","Lycosidae","unassigned","unassigned","het_carnivoreANDhet_unassigned","car_predatorANDuna_unassigned","pre_unassignedANDuna_unassigned","una_unassigned","het_car_pre_una_unaANDhet_una_una_una_una","secondary","auxil.","not observed","not observed"
"Messor","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Messor","unassigned","het_carnivoreANDhet_exudativoreANDhet_herbivoreANDhet_unassignedANDmic_unassigned","car_predatorANDexu_plant exudate feederANDher_nectarivoreANDuna_unassigned","nec_unassignedANDpla_unassignedANDpre_unassignedANDuna_unassigned","una_unassigned","het_car_pre_una_unaANDhet_exu_pla_una_unaANDhet_her_nec_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","primary","bioag. and auxil.","not observed","not observed"
"Microlestes","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Microlestes","unassigned","het_carnivoreANDhet_herbivoreANDhet_unassigned","car_predatorANDher_unassignedANDuna_unassigned","pre_unassignedANDuna_unassigned","una_unassigned","het_car_pre_una_unaANDhet_her_una_una_unaANDhet_una_una_una_una","primary","bioag. and auxil.","not observed","not observed"
"Nitidulidae","Metazoa","Arthropoda","Insecta","Coleoptera","Nitidulidae","unassigned","unassigned","het_decomposerANDhet_microbivoreANDhet_unassigned","dec_detritivoreANDmic_microphytophageANDuna_unassigned","det_unassignedANDmic_fungivoreANDuna_unassigned","fun_unassignedANDuna_unassigned","het_dec_det_una_unaANDhet_mic_mic_fun_unaANDhet_una_una_una_una","untargeted","any","not observed","not observed"
"Nomisia","Metazoa","Arthropoda","Arachnida","Araneae","Gnaphosidae","Nomisia","unassigned","het_carnivoreANDhet_unassigned","car_predatorANDuna_unassigned","pre_unassignedANDuna_unassigned","una_unassigned","het_car_pre_una_unaANDhet_una_una_una_una","secondary","auxil.","not observed","not observed"
"Olibrus","Metazoa","Arthropoda","Insecta","Coleoptera","Phalacridae","Olibrus","unassigned","het_microbivoreANDhet_unassigned","mic_microphytophageANDuna_unassigned","mic_fungivoreANDuna_unassigned","fun_unassignedANDuna_unassigned","het_mic_mic_fun_unaANDhet_una_una_una_una","untargeted","any","not observed","not observed"
"Onthophagus","Metazoa","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Onthophagus","unassigned","het_decomposerANDhet_herbivoreANDhet_unassigned","dec_detritivoreANDher_unassignedANDuna_unassigned","det_unassignedANDuna_unassigned","una_unassigned","het_dec_det_una_unaANDhet_her_una_una_unaANDhet_una_una_una_una","primary","bioag. and auxil.","not observed","not observed"
"Opiliones","Metazoa","Arthropoda","Arachnida","Opiliones","unassigned","unassigned","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Orthoptera","Metazoa","Arthropoda","Insecta","Orthoptera","unassigned","unassigned","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Oxytelini","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Oxytelini","unassigned","het_carnivoreANDhet_decomposerANDhet_microbivoreANDhet_unassigned","car_predatorANDdec_detritivoreANDmic_microphytophageANDuna_unassigned","det_unassignedANDmic_fungivoreANDpre_unassignedANDuna_unassigned","fun_unassignedANDuna_unassigned","het_car_pre_una_unaANDhet_dec_det_una_unaANDhet_mic_mic_fun_unaANDhet_una_una_una_una","secondary","auxil.","not observed","not observed"
"Parmulini","Metazoa","Arthropoda","Insecta","Coleoptera","Corylophidae","unassigned","unassigned","het_decomposerANDhet_unassigned","dec_detritivoreANDuna_unassigned","det_unassignedANDuna_unassigned","una_unassigned","het_dec_det_una_unaANDhet_una_una_una_una","untargeted","any","not observed","not observed"
"Pheidole pallidula","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Pheidole","Pheidole pallidula","het_carnivoreANDhet_exudativoreANDhet_herbivoreANDhet_unassignedANDmic_unassigned","car_predatorANDexu_plant exudate feederANDher_nectarivoreANDuna_unassigned","nec_unassignedANDpla_unassignedANDpre_unassignedANDuna_unassigned","una_unassigned","het_car_pre_una_unaANDhet_exu_pla_una_unaANDhet_her_nec_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","primary","bioag. and auxil.","not observed","not observed"
"Philodromidae","Metazoa","Arthropoda","Arachnida","Araneae","Philodromidae","unassigned","unassigned","het_carnivoreANDhet_unassigned","car_predatorANDuna_unassigned","pre_unassignedANDuna_unassigned","una_unassigned","het_car_pre_una_unaANDhet_una_una_una_una","secondary","auxil.","not observed","not observed"
"Plagiolepis","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Plagiolepis","unassigned","het_carnivoreANDhet_exudativoreANDhet_herbivoreANDhet_unassignedANDmic_unassigned","car_predatorANDexu_plant exudate feederANDher_nectarivoreANDuna_unassigned","nec_unassignedANDpla_unassignedANDpre_unassignedANDuna_unassigned","una_unassigned","het_car_pre_una_unaANDhet_exu_pla_una_unaANDhet_her_nec_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","primary","bioag. and auxil.","not observed","not observed"
"Pseudoscorpiones","Metazoa","Arthropoda","Arachnida","Pseudoscorpiones","unassigned","unassigned","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Psylloidea","Metazoa","Arthropoda","Insecta","Hemiptera","unassigned","unassigned","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Pteromalini","Metazoa","Arthropoda","Insecta","Hymenoptera","Pteromalidae","unassigned","unassigned","het_exudativoreANDhet_herbivoreANDhet_parasitoidANDhet_unassigned","exu_plant exudate feederANDher_nectarivoreANDpar_unassignedANDuna_unassigned","nec_unassignedANDpla_unassignedANDuna_unassigned","una_unassigned","het_exu_pla_una_unaANDhet_her_nec_una_unaANDhet_par_una_una_unaANDhet_una_una_una_una","primary","bioag. and auxil.","not observed","not observed"
"Pyrrhocoris apterus","Metazoa","Arthropoda","Insecta","Hemiptera","Pyrrhocoridae","Pyrrhocoris","Pyrrhocoris apterus","het_herbivoreANDhet_unassigned","her_unassignedANDuna_unassigned","una_unassigned","una_unassigned","het_her_una_una_unaANDhet_una_una_una_una","primary","bioag. and auxil.","not observed","not observed"
"Rhyzobius","Metazoa","Arthropoda","Insecta","Coleoptera","Coccinellidae","Rhyzobius","unassigned","het_carnivoreANDhet_herbivoreANDhet_unassigned","car_predatorANDher_unassignedANDuna_unassigned","pre_unassignedANDuna_unassigned","una_unassigned","het_car_pre_una_unaANDhet_her_una_una_unaANDhet_una_una_una_una","primary","bioag. and auxil.","not observed","not observed"
"Runcinia grammica","Metazoa","Arthropoda","Arachnida","Araneae","Thomisidae","Runcinia","Runcinia grammica","het_carnivoreANDhet_unassigned","car_predatorANDuna_unassigned","pre_unassignedANDuna_unassigned","una_unassigned","het_car_pre_una_unaANDhet_una_una_una_una","secondary","auxil.","not observed","not observed"
"Salticidae","Metazoa","Arthropoda","Arachnida","Araneae","Salticidae","unassigned","unassigned","het_carnivoreANDhet_unassigned","car_predatorANDuna_unassigned","pre_unassignedANDuna_unassigned","una_unassigned","het_car_pre_una_unaANDhet_una_una_una_una","secondary","auxil.","not observed","not observed"
"Solenopsis","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Solenopsis","unassigned","het_carnivoreANDhet_exudativoreANDhet_herbivoreANDhet_unassignedANDmic_unassigned","car_predatorANDexu_plant exudate feederANDher_nectarivoreANDuna_unassigned","nec_unassignedANDpla_unassignedANDpre_unassignedANDuna_unassigned","una_unassigned","het_car_pre_una_unaANDhet_exu_pla_una_unaANDhet_her_nec_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","primary","bioag. and auxil.","not observed","not observed"
"Staphylinidae","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","unassigned","unassigned","het_carnivoreANDhet_decomposerANDhet_microbivoreANDhet_unassigned","car_predatorANDdec_detritivoreANDmic_microphytophageANDuna_unassigned","det_unassignedANDmic_fungivoreANDpre_unassignedANDuna_unassigned","fun_unassignedANDuna_unassigned","het_car_pre_una_unaANDhet_dec_det_una_unaANDhet_mic_mic_fun_unaANDhet_una_una_una_una","secondary","auxil.","not observed","not observed"
"Tachyporus","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Tachyporus","unassigned","het_carnivoreANDhet_decomposerANDhet_microbivoreANDhet_unassigned","car_predatorANDdec_detritivoreANDmic_microphytophageANDuna_unassigned","det_unassignedANDmic_fungivoreANDpre_unassignedANDuna_unassigned","fun_unassignedANDuna_unassigned","het_car_pre_una_unaANDhet_dec_det_una_unaANDhet_mic_mic_fun_unaANDhet_una_una_una_una","secondary","auxil.","not observed","not observed"
"Thomisidae","Metazoa","Arthropoda","Arachnida","Araneae","Thomisidae","unassigned","unassigned","het_carnivoreANDhet_unassigned","car_predatorANDuna_unassigned","pre_unassignedANDuna_unassigned","una_unassigned","het_car_pre_una_unaANDhet_una_una_una_una","secondary","auxil.","not observed","not observed"
"Thysanoptera","Metazoa","Arthropoda","Insecta","Thysanoptera","unassigned","unassigned","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Typhlocybinae","Metazoa","Arthropoda","Insecta","Hemiptera","Cicadellidae","unassigned","unassigned","het_herbivoreANDhet_unassigned","her_unassignedANDuna_unassigned","una_unassigned","una_unassigned","het_her_una_una_unaANDhet_una_una_una_una","primary","bioag. and auxil.","not observed","not observed"
