"","method","Id_campaign","Year","usage_bloc","rang","arbre","id_sample","Valid.Name","abundance","name","rankName","fullName","genusName","familyName","orderName","className","phylumName"
"11","dissection inflo",191,2023,"AF_1_rang1_arbre9",NA,NA,"ANI-23-0500","Aphis ",20,"Aphis craccivora","Espèce","Aphis craccivora Koch, 1854","Aphis","Aphididae","Hemiptera","Insecta","Arthropoda"
"12","dissection inflo",191,2023,"AF_1_rang1_arbre9",NA,NA,"ANI-23-0500","thripidae",63,"Thripinae","Sous-Famille","Thripinae Stephens, 1829",NA,"Thripidae","Thysanoptera","Insecta","Arthropoda"
"13","dissection inflo",191,2023,"AF_1_rang1_arbre9",NA,NA,"ANI-23-0500","thripidae",17,"Thrips","Genre","Thrips Linnaeus, 1758","Thrips","Thripidae","Thysanoptera","Insecta","Arthropoda"
"14","dissection inflo",191,2023,"AF_1_rang1_arbre9",NA,NA,"ANI-23-0500","Coleoptera",1,"Anaspis","Genre","Anaspis Geoffroy, 1762","Anaspis","Scraptiidae","Coleoptera","Insecta","Arthropoda"
"15","dissection inflo",191,2023,"AF_1_rang2_arbre10",NA,NA,"ANI-23-0503","Aphis ",26,"Aphis craccivora","Espèce","Aphis craccivora Koch, 1854","Aphis","Aphididae","Hemiptera","Insecta","Arthropoda"
"16","dissection inflo",191,2023,"AF_1_rang2_arbre10",NA,NA,"ANI-23-0503","thripidae",9,"Thripinae","Sous-Famille","Thripinae Stephens, 1829",NA,"Thripidae","Thysanoptera","Insecta","Arthropoda"
"17","dissection inflo",191,2023,"AF_1_rang2_arbre10",NA,NA,"ANI-23-0503","Macrosiphoniella ",1,"Macrosiphoniella","Genre","Macrosiphoniella Del Guercio, 1911","Macrosiphoniella","Aphididae","Hemiptera","Insecta","Arthropoda"
"18","dissection inflo",191,2023,"AF_1_rang2_arbre10",NA,NA,"ANI-23-0503","Hymenoptera",1,"Hymenoptera","Ordre","Hymenoptera Linnaeus, 1758",NA,NA,"Hymenoptera","Insecta","Arthropoda"
"19","dissection inflo",191,2023,"AF_1_rang2_arbre10",NA,NA,"ANI-23-0503","Psocodea",1,"Pterygota","Genre","Pterygota Schott & Endl.","Pterygota","Malvaceae","Malvales","Magnoliopsida","Tracheophyta"
"20","dissection inflo",191,2023,"AF_1_rang2_arbre10",NA,NA,"ANI-23-0503","Psocodea",1,"Ectopsocus","Genre","Ectopsocus McLachlan, 1899","Ectopsocus","Ectopsocidae","Psocodea","Insecta","Arthropoda"
"21","dissection inflo",191,2023,"AF_1_rang2_arbre18",NA,NA,"ANI-23-0504","Aphididae",1,"Aphididae","Famille","Aphididae Latreille, 1802",NA,"Aphididae","Hemiptera","Insecta","Arthropoda"
"22","dissection inflo",191,2023,"AF_1_rang2_arbre18",NA,NA,"ANI-23-0504","Aphis ",5,"Aphis craccivora","Espèce","Aphis craccivora Koch, 1854","Aphis","Aphididae","Hemiptera","Insecta","Arthropoda"
"23","dissection inflo",191,2023,"AF_1_rang2_arbre18",NA,NA,"ANI-23-0504","thripidae",59,"Thripinae","Sous-Famille","Thripinae Stephens, 1829",NA,"Thripidae","Thysanoptera","Insecta","Arthropoda"
"24","dissection inflo",191,2023,"AF_1_rang2_arbre18",NA,NA,"ANI-23-0504","thripidae",11,"Thrips","Genre","Thrips Linnaeus, 1758","Thrips","Thripidae","Thysanoptera","Insecta","Arthropoda"
"25","dissection inflo",191,2023,"AF_1_rang2_arbre18",NA,NA,"ANI-23-0504","Coleoptera",1,"Megabruchidius","Genre","Megabruchidius Borowiec, 1984","Megabruchidius","Chrysomelidae","Coleoptera","Insecta","Arthropoda"
"26","dissection inflo",191,2023,"AF_1_rang2_arbre18",NA,NA,"ANI-23-0504","Omophlus ",3,"Omophlus","Genre","Omophlus Dejean, 1834","Omophlus","Tenebrionidae","Coleoptera","Insecta","Arthropoda"
"27","dissection inflo",191,2023,"AF_1_rang2_arbre18",NA,NA,"ANI-23-0504","Psocodea",1,"Pterygota","Genre","Pterygota Schott & Endl.","Pterygota","Malvaceae","Malvales","Magnoliopsida","Tracheophyta"
"28","dissection inflo",191,2023,"AF_1_rang2_arbre18",NA,NA,"ANI-23-0504","Psocodea",1,"Ectopsocus","Genre","Ectopsocus McLachlan, 1899","Ectopsocus","Ectopsocidae","Psocodea","Insecta","Arthropoda"
"29","dissection inflo",191,2023,"AF_1_rang2_arbre4",NA,NA,"ANI-23-0502","thripidae",17,"Thripinae","Sous-Famille","Thripinae Stephens, 1829",NA,"Thripidae","Thysanoptera","Insecta","Arthropoda"
"30","dissection inflo",191,2023,"AF_1_rang2_arbre4",NA,NA,"ANI-23-0502","thripidae",3,"Thrips","Genre","Thrips Linnaeus, 1758","Thrips","Thripidae","Thysanoptera","Insecta","Arthropoda"
"31","dissection inflo",191,2023,"AF_1_rang2_arbre4",NA,NA,"ANI-23-0502","Psocodea",1,"Pterygota","Genre","Pterygota Schott & Endl.","Pterygota","Malvaceae","Malvales","Magnoliopsida","Tracheophyta"
"32","dissection inflo",191,2023,"AF_1_rang2_arbre4",NA,NA,"ANI-23-0502","Psocodea",1,"Ectopsocus","Genre","Ectopsocus McLachlan, 1899","Ectopsocus","Ectopsocidae","Psocodea","Insecta","Arthropoda"
"33","dissection inflo",191,2023,"AF_1_rang2_arbre4",NA,NA,"ANI-23-0502","Plagiolepis pygmaea",1,"Plagiolepis pygmaea","Espèce","Plagiolepis pygmaea (Latreille, 1798)","Plagiolepis","Formicidae","Hymenoptera","Insecta","Arthropoda"
"34","dissection inflo",191,2023,"AF_1_rang3_arbre1",NA,NA,"ANI-23-0505","Aphis ",4,"Aphis craccivora","Espèce","Aphis craccivora Koch, 1854","Aphis","Aphididae","Hemiptera","Insecta","Arthropoda"
"35","dissection inflo",191,2023,"AF_1_rang3_arbre1",NA,NA,"ANI-23-0505","thripidae",60,"Thripinae","Sous-Famille","Thripinae Stephens, 1829",NA,"Thripidae","Thysanoptera","Insecta","Arthropoda"
"36","dissection inflo",191,2023,"AF_1_rang3_arbre1",NA,NA,"ANI-23-0505","thripidae",10,"Thrips","Genre","Thrips Linnaeus, 1758","Thrips","Thripidae","Thysanoptera","Insecta","Arthropoda"
"37","dissection inflo",191,2023,"AF_1_rang3_arbre1",NA,NA,"ANI-23-0505","Hymenoptera",1,"Chalcidoidea","Super-Famille","Chalcidoidea Latreille, 1817",NA,NA,"Hymenoptera","Insecta","Arthropoda"
"38","dissection inflo",191,2023,"AF_1_rang3_arbre1",NA,NA,"ANI-23-0505","Psocodea",1,"Pterygota","Genre","Pterygota Schott & Endl.","Pterygota","Malvaceae","Malvales","Magnoliopsida","Tracheophyta"
"39","dissection inflo",191,2023,"AF_1_rang3_arbre1",NA,NA,"ANI-23-0505","Psocodea",1,"Ectopsocus","Genre","Ectopsocus McLachlan, 1899","Ectopsocus","Ectopsocidae","Psocodea","Insecta","Arthropoda"
"40","dissection inflo",191,2023,"AF_1_rang3_arbre1",NA,NA,"ANI-23-0505","Dasytini",1,"Dasytes","Genre","Dasytes Paykull, 1799","Dasytes","Melyridae","Coleoptera","Insecta","Arthropoda"
"41","dissection inflo",191,2023,"AF_1_rang3_arbre21",NA,NA,"ANI-23-0507","thripidae",115,"Thripinae","Sous-Famille","Thripinae Stephens, 1829",NA,"Thripidae","Thysanoptera","Insecta","Arthropoda"
"42","dissection inflo",191,2023,"AF_1_rang3_arbre21",NA,NA,"ANI-23-0507","thripidae",10,"Thrips","Genre","Thrips Linnaeus, 1758","Thrips","Thripidae","Thysanoptera","Insecta","Arthropoda"
"43","dissection inflo",191,2023,"AF_1_rang3_arbre21",NA,NA,"ANI-23-0507","Chloropidae",1,"Chloropidae","Famille","Chloropidae Rondani, 1856",NA,"Chloropidae","Diptera","Insecta","Arthropoda"
"44","dissection inflo",191,2023,"AF_1_rang3_arbre21",NA,NA,"ANI-23-0507","Coleoptera",1,"Corticariinae","Sous-Famille","Corticariinae Curtis, 1829",NA,"Latridiidae","Coleoptera","Insecta","Arthropoda"
"45","dissection inflo",191,2023,"AF_1_rang3_arbre21",NA,NA,"ANI-23-0507","Psocodea",1,"Pterygota","Genre","Pterygota Schott & Endl.","Pterygota","Malvaceae","Malvales","Magnoliopsida","Tracheophyta"
"46","dissection inflo",191,2023,"AF_1_rang3_arbre21",NA,NA,"ANI-23-0507","Psocodea",1,"Ectopsocus","Genre","Ectopsocus McLachlan, 1899","Ectopsocus","Ectopsocidae","Psocodea","Insecta","Arthropoda"
"47","dissection inflo",191,2023,"AF_1_rang3_arbre21",NA,NA,"ANI-23-0507","Dasytini",1,"Dasytes","Genre","Dasytes Paykull, 1799","Dasytes","Melyridae","Coleoptera","Insecta","Arthropoda"
"48","dissection inflo",191,2023,"AF_1_rang3_arbre8",NA,NA,"ANI-23-0506","thripidae",43,"Thripinae","Sous-Famille","Thripinae Stephens, 1829",NA,"Thripidae","Thysanoptera","Insecta","Arthropoda"
"49","dissection inflo",191,2023,"AF_1_rang3_arbre8",NA,NA,"ANI-23-0506","thripidae",5,"Thrips","Genre","Thrips Linnaeus, 1758","Thrips","Thripidae","Thysanoptera","Insecta","Arthropoda"
"50","dissection inflo",191,2023,"AF_1_rang3_arbre8",NA,NA,"ANI-23-0506","Coleoptera",1,"Anaspidinae","Sous-Famille","Anaspidinae Mulsant, 1856",NA,"Scraptiidae","Coleoptera","Insecta","Arthropoda"
"51","dissection inflo",191,2023,"AF_1_rang3_arbre8",NA,NA,"ANI-23-0506","Hymenoptera",1,"Chalcidoidea","Super-Famille","Chalcidoidea Latreille, 1817",NA,NA,"Hymenoptera","Insecta","Arthropoda"
"52","dissection inflo",191,2023,"AF_1_rang4_arbre2",NA,NA,"ANI-23-0508","thripidae",98,"Thripinae","Sous-Famille","Thripinae Stephens, 1829",NA,"Thripidae","Thysanoptera","Insecta","Arthropoda"
"53","dissection inflo",191,2023,"AF_1_rang4_arbre2",NA,NA,"ANI-23-0508","thripidae",12,"Thrips","Genre","Thrips Linnaeus, 1758","Thrips","Thripidae","Thysanoptera","Insecta","Arthropoda"
"54","dissection inflo",191,2023,"AF_1_rang4_arbre20",NA,NA,"ANI-23-0510","thripidae",68,"Thripinae","Sous-Famille","Thripinae Stephens, 1829",NA,"Thripidae","Thysanoptera","Insecta","Arthropoda"
"55","dissection inflo",191,2023,"AF_1_rang4_arbre20",NA,NA,"ANI-23-0510","Hemiptera",1,"Hemiptera","Ordre","Hemiptera",NA,NA,"Hemiptera","Insecta","Arthropoda"
"56","dissection inflo",191,2023,"AF_1_rang4_arbre20",NA,NA,"ANI-23-0510","Dasytini",1,"Dasytes","Genre","Dasytes Paykull, 1799","Dasytes","Melyridae","Coleoptera","Insecta","Arthropoda"
"57","dissection inflo",191,2023,"AF_1_rang4_arbre9",NA,NA,"ANI-23-0509","thripidae",123,"Thripinae","Sous-Famille","Thripinae Stephens, 1829",NA,"Thripidae","Thysanoptera","Insecta","Arthropoda"
"58","dissection inflo",191,2023,"AF_1_rang4_arbre9",NA,NA,"ANI-23-0509","thripidae",20,"Thrips","Genre","Thrips Linnaeus, 1758","Thrips","Thripidae","Thysanoptera","Insecta","Arthropoda"
"59","dissection inflo",191,2023,"AF_1_rang4_arbre9",NA,NA,"ANI-23-0509","Cicadellidae",1,"Cicadellidae","Famille","Cicadellidae Latreille, 1802",NA,"Cicadellidae","Hemiptera","Insecta","Arthropoda"
"60","dissection inflo",191,2023,"AF_1_rang4_arbre9",NA,NA,"ANI-23-0509","Coleoptera",1,"Bruchinae","Sous-Famille","Bruchinae Latreille, 1802",NA,"Chrysomelidae","Coleoptera","Insecta","Arthropoda"
"61","dissection inflo",191,2023,"AF_1_rang4_arbre9",NA,NA,"ANI-23-0509","Psocodea",1,"Pterygota","Genre","Pterygota Schott & Endl.","Pterygota","Malvaceae","Malvales","Magnoliopsida","Tracheophyta"
"62","dissection inflo",191,2023,"AF_1_rang4_arbre9",NA,NA,"ANI-23-0509","Psocodea",1,"Ectopsocus","Genre","Ectopsocus McLachlan, 1899","Ectopsocus","Ectopsocidae","Psocodea","Insecta","Arthropoda"
"63","dissection inflo",191,2023,"AF_1_rang5_arbre11",NA,NA,"ANI-23-0512","thripidae",93,"Thripinae","Sous-Famille","Thripinae Stephens, 1829",NA,"Thripidae","Thysanoptera","Insecta","Arthropoda"
"64","dissection inflo",191,2023,"AF_1_rang5_arbre11",NA,NA,"ANI-23-0512","thripidae",10,"Thrips","Genre","Thrips Linnaeus, 1758","Thrips","Thripidae","Thysanoptera","Insecta","Arthropoda"
"65","dissection inflo",191,2023,"AF_1_rang5_arbre21",NA,NA,"ANI-23-0513","thripidae",66,"Thripinae","Sous-Famille","Thripinae Stephens, 1829",NA,"Thripidae","Thysanoptera","Insecta","Arthropoda"
"66","dissection inflo",191,2023,"AF_1_rang5_arbre21",NA,NA,"ANI-23-0513","thripidae",6,"Thrips","Genre","Thrips Linnaeus, 1758","Thrips","Thripidae","Thysanoptera","Insecta","Arthropoda"
"67","dissection inflo",191,2023,"AF_1_rang5_arbre21",NA,NA,"ANI-23-0513","Macrosiphoniella ",4,"Macrosiphoniella","Genre","Macrosiphoniella Del Guercio, 1911","Macrosiphoniella","Aphididae","Hemiptera","Insecta","Arthropoda"
"68","dissection inflo",191,2023,"AF_1_rang5_arbre3",NA,NA,"ANI-23-0511","thripidae",76,"Thripinae","Sous-Famille","Thripinae Stephens, 1829",NA,"Thripidae","Thysanoptera","Insecta","Arthropoda"
"69","dissection inflo",191,2023,"AF_1_rang5_arbre3",NA,NA,"ANI-23-0511","thripidae",1,"Thrips","Genre","Thrips Linnaeus, 1758","Thrips","Thripidae","Thysanoptera","Insecta","Arthropoda"
"70","dissection inflo",191,2023,"AF_2_rang1_arbre18",NA,NA,"ANI-23-0516","Aphis ",43,"Aphis craccivora","Espèce","Aphis craccivora Koch, 1854","Aphis","Aphididae","Hemiptera","Insecta","Arthropoda"
"71","dissection inflo",191,2023,"AF_2_rang1_arbre18",NA,NA,"ANI-23-0516","thripidae",122,"Thripinae","Sous-Famille","Thripinae Stephens, 1829",NA,"Thripidae","Thysanoptera","Insecta","Arthropoda"
"72","dissection inflo",191,2023,"AF_2_rang1_arbre18",NA,NA,"ANI-23-0516","thripidae",27,"Thrips","Genre","Thrips Linnaeus, 1758","Thrips","Thripidae","Thysanoptera","Insecta","Arthropoda"
"73","dissection inflo",191,2023,"AF_2_rang1_arbre18",NA,NA,"ANI-23-0516","Macrosiphoniella ",1,"Macrosiphoniella","Genre","Macrosiphoniella Del Guercio, 1911","Macrosiphoniella","Aphididae","Hemiptera","Insecta","Arthropoda"
"74","dissection inflo",191,2023,"AF_2_rang1_arbre3",NA,NA,"ANI-23-0514","thripidae",44,"Thripinae","Sous-Famille","Thripinae Stephens, 1829",NA,"Thripidae","Thysanoptera","Insecta","Arthropoda"
"75","dissection inflo",191,2023,"AF_2_rang1_arbre3",NA,NA,"ANI-23-0514","thripidae",11,"Thrips","Genre","Thrips Linnaeus, 1758","Thrips","Thripidae","Thysanoptera","Insecta","Arthropoda"
"76","dissection inflo",191,2023,"AF_2_rang1_arbre3",NA,NA,"ANI-23-0514","Hymenoptera",1,"Chalcidoidea","Super-Famille","Chalcidoidea Latreille, 1817",NA,NA,"Hymenoptera","Insecta","Arthropoda"
"77","dissection inflo",191,2023,"AF_2_rang1_arbre3",NA,NA,"ANI-23-0514","Macrosiphoniella ",1,"Aphididae","Famille","Aphididae Latreille, 1802",NA,"Aphididae","Hemiptera","Insecta","Arthropoda"
"78","dissection inflo",191,2023,"AF_2_rang1_arbre3",NA,NA,"ANI-23-0514","Runcinia grammica",1,"Runcinia grammica","Espèce","Runcinia grammica (C.L. Koch, 1837)","Runcinia","Thomisidae","Araneae","Arachnida","Arthropoda"
"79","dissection inflo",191,2023,"AF_2_rang1_arbre3",NA,NA,"ANI-23-0514","Psocodea",1,"Pterygota","Genre","Pterygota Schott & Endl.","Pterygota","Malvaceae","Malvales","Magnoliopsida","Tracheophyta"
"80","dissection inflo",191,2023,"AF_2_rang1_arbre3",NA,NA,"ANI-23-0514","Psocodea",1,"Ectopsocus","Genre","Ectopsocus McLachlan, 1899","Ectopsocus","Ectopsocidae","Psocodea","Insecta","Arthropoda"
"81","dissection inflo",191,2023,"AF_2_rang1_arbre8",NA,NA,"ANI-23-0515","Aphis ",6,"Aphis craccivora","Espèce","Aphis craccivora Koch, 1854","Aphis","Aphididae","Hemiptera","Insecta","Arthropoda"
"82","dissection inflo",191,2023,"AF_2_rang1_arbre8",NA,NA,"ANI-23-0515","thripidae",99,"Thripinae","Sous-Famille","Thripinae Stephens, 1829",NA,"Thripidae","Thysanoptera","Insecta","Arthropoda"
"83","dissection inflo",191,2023,"AF_2_rang1_arbre8",NA,NA,"ANI-23-0515","thripidae",22,"Thrips","Genre","Thrips Linnaeus, 1758","Thrips","Thripidae","Thysanoptera","Insecta","Arthropoda"
"84","dissection inflo",191,2023,"AF_2_rang1_arbre8",NA,NA,"ANI-23-0515","Apioninae",1,"Apioninae","Sous-Famille","Apioninae Schönherr, 1823",NA,"Brentidae","Coleoptera","Insecta","Arthropoda"
"85","dissection inflo",191,2023,"AF_2_rang1_arbre8",NA,NA,"ANI-23-0515","Arthropoda",1,"Pterygota","Genre","Pterygota Schott & Endl.","Pterygota","Malvaceae","Malvales","Magnoliopsida","Tracheophyta"
"86","dissection inflo",191,2023,"AF_2_rang2_arbre21",NA,NA,"ANI-23-0519","thripidae",147,"Thripinae","Sous-Famille","Thripinae Stephens, 1829",NA,"Thripidae","Thysanoptera","Insecta","Arthropoda"
"87","dissection inflo",191,2023,"AF_2_rang2_arbre21",NA,NA,"ANI-23-0519","thripidae",34,"Thrips","Genre","Thrips Linnaeus, 1758","Thrips","Thripidae","Thysanoptera","Insecta","Arthropoda"
"88","dissection inflo",191,2023,"AF_2_rang2_arbre21",NA,NA,"ANI-23-0519","Coleoptera",1,"Bruchinae","Sous-Famille","Bruchinae Latreille, 1802",NA,"Chrysomelidae","Coleoptera","Insecta","Arthropoda"
"89","dissection inflo",191,2023,"AF_2_rang2_arbre21",NA,NA,"ANI-23-0519","Mirini",1,"Mirini","Tribu","Mirini Hahn, 1833",NA,"Miridae","Hemiptera","Insecta","Arthropoda"
"90","dissection inflo",191,2023,"AF_2_rang2_arbre21",NA,NA,"ANI-23-0519","Runcinia grammica",1,"Runcinia grammica","Espèce","Runcinia grammica (C.L. Koch, 1837)","Runcinia","Thomisidae","Araneae","Arachnida","Arthropoda"
"91","dissection inflo",191,2023,"AF_2_rang2_arbre3",NA,NA,"ANI-23-0517","thripidae",87,"Thripinae","Sous-Famille","Thripinae Stephens, 1829",NA,"Thripidae","Thysanoptera","Insecta","Arthropoda"
"92","dissection inflo",191,2023,"AF_2_rang2_arbre3",NA,NA,"ANI-23-0517","thripidae",14,"Thrips","Genre","Thrips Linnaeus, 1758","Thrips","Thripidae","Thysanoptera","Insecta","Arthropoda"
"93","dissection inflo",191,2023,"AF_2_rang2_arbre3",NA,NA,"ANI-23-0517","Macrosiphoniella ",3,"Macrosiphoniella","Genre","Macrosiphoniella Del Guercio, 1911","Macrosiphoniella","Aphididae","Hemiptera","Insecta","Arthropoda"
"94","dissection inflo",191,2023,"AF_2_rang2_arbre3",NA,NA,"ANI-23-0517","Syrphidae",1,"Cyclorrhapha","Famille","Cyclorrhapha",NA,"Cyclorrhapha","Diptera","Insecta","Arthropoda"
"95","dissection inflo",191,2023,"AF_2_rang2_arbre9",NA,NA,"ANI-23-0518","thripidae",88,"Thripinae","Sous-Famille","Thripinae Stephens, 1829",NA,"Thripidae","Thysanoptera","Insecta","Arthropoda"
"96","dissection inflo",191,2023,"AF_2_rang2_arbre9",NA,NA,"ANI-23-0518","thripidae",10,"Thrips","Genre","Thrips Linnaeus, 1758","Thrips","Thripidae","Thysanoptera","Insecta","Arthropoda"
"97","dissection inflo",191,2023,"AF_2_rang2_arbre9",NA,NA,"ANI-23-0518","Psocodea",1,"Pterygota","Genre","Pterygota Schott & Endl.","Pterygota","Malvaceae","Malvales","Magnoliopsida","Tracheophyta"
"98","dissection inflo",191,2023,"AF_2_rang2_arbre9",NA,NA,"ANI-23-0518","Psocodea",1,"Ectopsocus","Genre","Ectopsocus McLachlan, 1899","Ectopsocus","Ectopsocidae","Psocodea","Insecta","Arthropoda"
"99","dissection inflo",191,2023,"AF_2_rang3_arbre13",NA,NA,"ANI-23-0521","thripidae",44,"Thripinae","Sous-Famille","Thripinae Stephens, 1829",NA,"Thripidae","Thysanoptera","Insecta","Arthropoda"
"100","dissection inflo",191,2023,"AF_2_rang3_arbre13",NA,NA,"ANI-23-0521","thripidae",5,"Thrips","Genre","Thrips Linnaeus, 1758","Thrips","Thripidae","Thysanoptera","Insecta","Arthropoda"
"101","dissection inflo",191,2023,"AF_2_rang3_arbre13",NA,NA,"ANI-23-0521","Psocodea",4,"Pterygota","Genre","Pterygota Schott & Endl.","Pterygota","Malvaceae","Malvales","Magnoliopsida","Tracheophyta"
"102","dissection inflo",191,2023,"AF_2_rang3_arbre13",NA,NA,"ANI-23-0521","Psocodea",4,"Ectopsocus","Genre","Ectopsocus McLachlan, 1899","Ectopsocus","Ectopsocidae","Psocodea","Insecta","Arthropoda"
"103","dissection inflo",191,2023,"AF_2_rang3_arbre21",NA,NA,"ANI-23-0522","thripidae",51,"Thripinae","Sous-Famille","Thripinae Stephens, 1829",NA,"Thripidae","Thysanoptera","Insecta","Arthropoda"
"104","dissection inflo",191,2023,"AF_2_rang3_arbre21",NA,NA,"ANI-23-0522","thripidae",3,"Thrips","Genre","Thrips Linnaeus, 1758","Thrips","Thripidae","Thysanoptera","Insecta","Arthropoda"
"105","dissection inflo",191,2023,"AF_2_rang3_arbre21",NA,NA,"ANI-23-0522","Macrosiphoniella ",1,"Macrosiphoniella","Genre","Macrosiphoniella Del Guercio, 1911","Macrosiphoniella","Aphididae","Hemiptera","Insecta","Arthropoda"
"106","dissection inflo",191,2023,"AF_2_rang3_arbre3",NA,NA,"ANI-23-0520","Aphis ",1,"Aphis craccivora","Espèce","Aphis craccivora Koch, 1854","Aphis","Aphididae","Hemiptera","Insecta","Arthropoda"
"107","dissection inflo",191,2023,"AF_2_rang3_arbre3",NA,NA,"ANI-23-0520","thripidae",55,"Thripinae","Sous-Famille","Thripinae Stephens, 1829",NA,"Thripidae","Thysanoptera","Insecta","Arthropoda"
"108","dissection inflo",191,2023,"AF_2_rang3_arbre3",NA,NA,"ANI-23-0520","thripidae",14,"Thrips","Genre","Thrips Linnaeus, 1758","Thrips","Thripidae","Thysanoptera","Insecta","Arthropoda"
"109","dissection inflo",191,2023,"AF_2_rang3_arbre3",NA,NA,"ANI-23-0520","Psocodea",4,"Pterygota","Genre","Pterygota Schott & Endl.","Pterygota","Malvaceae","Malvales","Magnoliopsida","Tracheophyta"
"110","dissection inflo",191,2023,"AF_2_rang3_arbre3",NA,NA,"ANI-23-0520","Psocodea",4,"Ectopsocus","Genre","Ectopsocus McLachlan, 1899","Ectopsocus","Ectopsocidae","Psocodea","Insecta","Arthropoda"
"111","dissection inflo",191,2023,"AF_2_rang3_arbre3",NA,NA,"ANI-23-0520","Coleoptera",1,"Anaspis","Genre","Anaspis Geoffroy, 1762","Anaspis","Scraptiidae","Coleoptera","Insecta","Arthropoda"
"112","dissection inflo",191,2023,"AF_2_rang4_arbre10",NA,NA,"ANI-23-0524","thripidae",191,"Thripinae","Sous-Famille","Thripinae Stephens, 1829",NA,"Thripidae","Thysanoptera","Insecta","Arthropoda"
"113","dissection inflo",191,2023,"AF_2_rang4_arbre10",NA,NA,"ANI-23-0524","thripidae",5,"Thrips","Genre","Thrips Linnaeus, 1758","Thrips","Thripidae","Thysanoptera","Insecta","Arthropoda"
"114","dissection inflo",191,2023,"AF_2_rang4_arbre10",NA,NA,"ANI-23-0524","Macrosiphoniella ",1,"Macrosiphoniella","Genre","Macrosiphoniella Del Guercio, 1911","Macrosiphoniella","Aphididae","Hemiptera","Insecta","Arthropoda"
"115","dissection inflo",191,2023,"AF_2_rang4_arbre10",NA,NA,"ANI-23-0524","Piezodorus",1,"Piezodorus lituratus","Espèce","Piezodorus lituratus (Fabricius, 1794)","Piezodorus","Pentatomidae","Hemiptera","Insecta","Arthropoda"
"116","dissection inflo",191,2023,"AF_2_rang4_arbre10",NA,NA,"ANI-23-0524","Psocodea",3,"Pterygota","Genre","Pterygota Schott & Endl.","Pterygota","Malvaceae","Malvales","Magnoliopsida","Tracheophyta"
"117","dissection inflo",191,2023,"AF_2_rang4_arbre10",NA,NA,"ANI-23-0524","Psocodea",3,"Ectopsocus","Genre","Ectopsocus McLachlan, 1899","Ectopsocus","Ectopsocidae","Psocodea","Insecta","Arthropoda"
"118","dissection inflo",191,2023,"AF_2_rang4_arbre2",NA,NA,"ANI-23-0523","thripidae",68,"Thripinae","Sous-Famille","Thripinae Stephens, 1829",NA,"Thripidae","Thysanoptera","Insecta","Arthropoda"
"119","dissection inflo",191,2023,"AF_2_rang4_arbre2",NA,NA,"ANI-23-0523","thripidae",24,"Thrips","Genre","Thrips Linnaeus, 1758","Thrips","Thripidae","Thysanoptera","Insecta","Arthropoda"
"120","dissection inflo",191,2023,"AF_2_rang4_arbre2",NA,NA,"ANI-23-0523","Macrosiphoniella ",1,"Macrosiphoniella","Genre","Macrosiphoniella Del Guercio, 1911","Macrosiphoniella","Aphididae","Hemiptera","Insecta","Arthropoda"
